Organisation Name,Published Date,Title,Awarded Value
Inenco Group Ltd,2016-08-15T12:08:08Z,Fixed Power & Gas Supply Framework,600000000.0
The Energy Consortium (Education & Public Sector),2016-05-06T05:36:03Z,Provision of Flexible Mains Gas and Electricity Contracts,580000000.0
The Energy Consortium (Education & Public Sector),2016-09-10T13:24:00Z,Provision of Flexible Mains Gas and Electricity Contracts,580000000.0
The Energy Consortium (Education & Public Sector),2016-05-06T05:18:05Z,Provision of Flexible Mains Gas and Electricity Contracts,580000000.0
YPO,2019-11-05T15:31:19Z,"YPO - 000960 Purchase, Hire and Lease of Specialist Vehicles and Associated Services",500000000.0
"West Mercia Energy (A Local Authority Joint Committee of Shropshire Council, Worcestershire County Council, Telford & Wrekin Council and Herefordshire Council).",2018-12-10T13:34:18Z,WME 002 - A Framework Agreement for the Supply of Electricity on a Flexible Basis and the Provision of Associated Services,500000000.0
Espo,2015-11-25T14:53:50Z,191B/C_16 Electricity (Half Hourly & Non Half Hourly Metered),400000000.0
TRANSPORT FOR LONDON,2016-09-14T13:07:25Z,Bulk Electricity & DNO Electricity,400000000.0
United Learning Trust,2019-12-06T17:45:04Z,National Framework Agreement for Provision of Energy to Public Sector,400000000.0
"Ministry of Defence, IMOC, Defence Fuels and Food Services (DF&FS)",2016-02-08T10:57:03Z,Supply of Fuel to Singapore,
Hertfordshire County Council,2015-02-10T23:43:46Z,United Kingdom-Hertford: Passenger cars,
University of Essex,2019-01-30T15:00:25Z,"CA5207 - Supply of Non Half Hourly Electricity, Half Hourly Electricity, Natural Gas and Water/Wastewater",25000000.0
CIRRUS PURCHASING LTD,2016-03-02T13:04:31Z,Cirrus Consortium Materials Framework,350000000.0
Aspirations Academies Trust,2018-11-19T17:45:07Z,Framework Energy Supply Contracts: Electricity & Natural Gas,330000000.0
Kent County Council (via LASER),2019-10-23T13:41:36Z,"Flexible Procurement and Supply of Half Hourly (HH), Non-Half Hourly (NHH), Metered and Unmetered Electricity with Meter Operations and Additional Services - Y18003",900000000.0
ESPO,2019-10-14T10:48:17Z,301_20 Liquid Fuels,
Efficiency East Midlands Ltd,2016-09-12T06:06:05Z,"Heating and Hot Water System Servicing, Repairs and Installations",300000000.0
CIRRUS PURCHASING LTD,2019-10-14T16:26:14Z,Mini Competition via the Wyre Borough Council Framework - Gas,280000000.0
"Ministry of Defence, Land Equipment, Defence Fuels and Food Services (DF&FS)",2016-12-26T09:12:08Z,Supply of Fuel to Singapore,279284000.0
Aspirations Academies Trust,2018-09-26T17:45:05Z,Framework Energy Supply Contracts: Electricity & Natural Gas,
DEPARTMENT OF HEALTH,2015-01-15T10:19:30Z,Normal Human Immunoglobulins,
Northern Housing Consortium Ltd,2016-01-18T15:33:01Z,Framework Agreement for Heating Systems,
Northern Housing Consortium Ltd,2016-04-19T17:42:31Z,Framework Agreement for Heating Systems,250000000.0
Northern Housing Consortium Ltd,2016-05-02T13:39:04Z,Framework Agreement for Heating Systems,250000000.0
ESPO,2019-12-06T10:18:39Z,192_23 Mains Gas,
oneSource,2019-12-17T16:01:58Z,Integrated Public Realm Services Contract,
Efficiency East Midlands Ltd,2016-06-23T13:18:06Z,"Heating and Hot Water System Servicing, Repairs and Installations",
Basildon Borough Council,2015-08-06T09:54:38Z,Basildon Borough Council Strategic Asset Management Contract,
Saltwood C Of E Primary School,2019-10-23T10:53:51Z,"Y18002 - Flexible Procurement and Supply of Natural Gas Daily Metered and Non-Daily Metered including Product Class 1,2,3 and 4 with Additional Services",600000000.0
Kent County Council (via LASER),2019-10-23T13:32:05Z,"Y18002 - Flexible Procurement and Supply of Natural Gas Daily Metered and Non-Daily Metered including Product Class 1,2,3 and 4 with Additional Services",600000000.0
YPO,2020-03-10T00:00:00Z,YPO - 000986 Supply of Gas,400000000.0
YPO,2015-09-30T15:10:22Z,YPO - 000621 Firm Main Gas,400000000.0
YPO,2015-09-18T15:44:04Z,YPO - 000618 Liquid Fuels,300000000.0
Yorkshire Purchasing Organisation,2019-11-21T11:11:49Z,Liquid Fuels,300000000.0
Fusion 21 Limited,2016-04-04T16:44:26Z,"Servicing, Maintenance and Installation of Heating Systems Framework",0.0
Saltwood C Of E Primary School,2019-10-23T11:22:14Z,"Flexible Procurement and Supply of Half Hourly (HH), Non-Half Hourly (NHH), Metered and Unmetered Electricity with Meter Operations and Additional Services - Y18003",900000000.0
Fusion 21 Limited,2015-09-07T16:45:33Z,Property Retrofit & Associated Works Framework,0.0
Procurement for Housing,2018-02-19T17:45:03Z,The Supply of Electricity and Natural Gas,185000000.0
Inenco Group Ltd,2017-01-23T10:22:46Z,Gas Portfolio Services Framework,160000000.0
Association Of North East Councils,2020-02-19T15:43:10Z,NEPO307 Supply of Liquid Fuels,
Association Of North East Councils,2019-06-28T14:45:17Z,NEPO302 Gas Supply Framework Agreement,300000000.0
Fusion 21 Limited,2015-11-19T14:14:19Z,"Servicing, Maintenance and Installation of Heating Systems Framework",
Fusion21 Members Consortium,2018-10-08T17:45:05Z,Fusion21 Repairs & Maintenance Framework,150000000.0
Spectrum Housing Group,2016-01-11T15:06:04Z,Spectrum National Materials Framework,150000000.0
Spectrum Housing Group,2015-11-04T12:24:04Z,Spectrum National Materials Framework,
Crown Commercial Service,2017-11-20T11:16:32Z,Utilities Management Software Metering and Ancillary Services,
Southwark Council,2015-12-10T11:05:27Z,Heating and Water Contracts,138000000.0
Metropolitan Police Service,2018-10-24T08:31:17Z,"Framework agreement for the provision of mechanical, electrical, general buidling works and locksmiths maintenance",173550366.56
Metropolitan Police Service,2017-06-01T15:00:22Z,"Framework agreement for the provision of mechanical, electrical, general buidling works and locksmiths maintenance",
NHS SUPPLY CHAIN,2019-03-01T10:35:54Z,Blood Collection Systems and Blood Lancets,
Espo,2016-03-14T10:07:50Z,301_16 Liquid Fuels,130000000.0
Livin Housing Limited,2015-11-20T15:58:05Z,Construction Related Services Contract 2016-2026,
ESPO,2017-10-09T09:45:55Z,192_19 Mains Gas,240000000.0
COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,2018-05-10T14:44:17Z,National Framework Agreement for the Provision of Natural Gas,120000000.0
Livin Housing Limited,2016-05-09T16:45:46Z,Construction Related Services Contract 2016-2026,108783918.0
Echelon Consultancy Ltd,2018-07-27T17:30:42Z,Equity and Johnnie Johnson Integrated Asset Management Contract,
Echelon Consultancy Ltd,2019-06-16T16:01:29Z,Equity and Johnnie Johnson Integrated Asset Management Contract,119724413.2
Home Group,2018-07-27T12:12:16Z,HOME GROUP REPAIRS & MAINTENANCE SERVICES FOR SOUTH EAST,
North Somerset Council,2017-10-26T13:19:54Z,Energy Management Framework 2018,100000000.0
Progress Housing Group,2019-02-19T12:55:17Z,Energy Framework Agreement 2019,
Kent County Council t/a LASER,2019-04-24T15:23:20Z,"Flexible Procurement & Supply of Lot1 HH Metered & Unmetered Electricity, Lot2 NHH Metered & Unmetered, Lot3 Gas Daily & Non Daily Metered inc. Product Class 1,2,3&4 & Additional Services all Lots",
Northampton Partnership Homes,2018-09-26T16:00:17Z,"CA5084 - The Supply of Non Half Hourly Electricity, Half Hourly Electricity and Gas",20000000.0
ESPO,2018-12-24T10:42:37Z,12_19 Building Materials,
Progress Housing Group,2019-04-08T14:49:03Z,Energy Framework Agreement 2019,100000000.0
Places for People Group Limited,2019-04-18T16:24:19Z,Procurement Hub Gas Compliance Framework,
MI CONCEPTS LIMITED,2019-06-21T18:15:27Z,Emergency Accommodation Construction Framework,
"West Mercia Energy (A Local Authority Joint Committee of Shropshire Council, Worcestershire County Council, Telford & Wrekin Council and Herefordshire Council).",2017-04-15T12:49:30Z,WME 001 - A Framework Agreement for the Supply of Natural Gas on a Flexible Basis and the Provision of Associated Services,100000000.0
Grand Union Housing Group,2017-05-01T17:45:12Z,Grand Union Housing Electricity and Gas Procurement Framework,100000000.0
Espo,2019-05-23T10:25:23Z,12_19 Building Materials,100000000.0
South East Consortium,2019-11-01T17:45:09Z,Internal & External Building Works Framework,100000000.0
South East Consortium,2015-11-23T17:45:27Z,Heating and Property Efficiency Framework,0.0
Teign Housing,2016-06-28T16:07:21Z,Teign Housing Repairs and Maintenance Works (Wholly Owned Subsidary),
SE Shared Services,2019-11-06T16:45:42Z,Crawley Borough Council - Planned & Responsive Repairs & Maintenance to Residential & Public Buildings - AWARD,79316160.0
Progress Housing Group,2015-10-19T12:17:11Z,Energy Framework Agreement,
FREEBRIDGE COMMUNITY HOUSING LIMITED,2018-10-16T13:00:51Z,Energy Contract,800000.0
NHS Property Services,2019-10-02T17:45:11Z,Supply of electricity and mains gas,
NHS Property Services,2019-12-20T17:45:07Z,Supply of electricity and mains gas,80000000.0
Progress Housing Group,2015-12-18T17:45:28Z,Energy Framework Agreement,0.0
Brentwood Borough Council,2019-04-03T13:03:03Z,Brentwood Borough Council Strategic Asset Management Contract Reference Number: ech 821,79500000.0
The Coal Authority,2019-10-04T13:21:00Z,"Minewater Treatment Civil Engineering, Refurbishment & Minor Works",
"Eiffage Kier JV HS2 Main Civils Works, Lots C2 & C3",2020-02-13T16:48:35Z,"Supply of Fuel, Installation of Bulk Storage Tanks & Dispensing Racks & the Distribution of Fuel to Worksite",
Croydon Council,2019-12-04T12:20:37Z,746/2018R Passenger Transport DPS,68000000.0
Procurement for Housing,2015-04-23T13:36:56Z,The Supply of Materials and Associated Managed Services,500000.0
Kirklees Council,2015-06-29T14:08:35Z,KMCBS-022 Supply and Delivery of Building Materials,
Ark Housing Consultancy,2018-11-19T14:03:56Z,"West Kent Housing Association - Repairs, Maintenance and Improvements Term Partnering Contract",
NHS SUPPLY CHAIN,2017-06-14T09:28:07Z,Ambient Food,6.02
NEPO,2015-11-13T09:12:17Z,Supply of Liquid Fuels,
West Lancashire Borough Council,2018-11-26T12:27:50Z,"Provision of Responsive Repairs, Works to Voids, Gas Servicing and Maintenance",
West Lancashire Borough Council,2020-02-14T00:00:00Z,"Provision of Responsive Repairs, Works to Voids, Gas Servicing and Maintenance",65000000.0
Procurement For All Ltd,2016-10-16T12:42:06Z,"Heating Servicing, Maintenance, Installation and Associated Services Framework",60000000.0
NHS West Cheshire CCG,2018-11-26T10:52:17Z,Prime Provider of Maternity Services,
CROWN COMMERCIAL SERVICE,2017-08-16T11:14:36Z,RM3791 Supply of Electricity and Ancillary Services,60000000.0
EASTERN PROCUREMENT LIMITED,2019-11-29T16:25:23Z,"Heating Installation, Servicing and Maintenance Framework",
Echelon Consultancy Ltd,2018-10-14T11:00:50Z,"Habinteg Repairs, Void, Planned Works and Gas Contracts",
North East Lincolnshire Council,2020-03-04T00:00:00Z,North East Lincolnshire Council Electrcity and Gas Basket Framework,54000000.0
Echelon Consultancy Ltd,2019-04-05T15:31:04Z,"Habinteg Repairs, Void, Planned Works and Gas Contracts",52821053.77
North East Lincolnshire Council,2019-08-27T09:33:06Z,North East Lincolnshire Electricity and Gas Basket Framework,
UK TRADE & INVESTMENT,2016-07-22T11:24:04Z,The supply of specialist and interim resources and related services,50000000.0
whg,2019-11-04T09:48:57Z,Managed Stores Service,
Grand Union Housing Group,2017-01-30T17:45:08Z,Grand Union Housing Electricity and Gas Procurement Framework,
CROWN COMMERCIAL SERVICE,2016-06-23T10:05:38Z,RM1013MODHO16 - Supply of Heating Oil,48451632.0
Staffordshire County Council,2015-09-11T08:20:59Z,Maintenance & Minor Construction Works (Framework Agreement),
STAFFORDSHIRE COUNTY COUNCIL,2016-06-20T09:27:54Z,Maintenance & Minor Construction Works (Framework Agreement),197000000.0
DEPARTMENT FOR INTERNATIONAL DEVELOPMENT,2016-03-31T13:35:54Z,DFID 6839 Supporting Nutrition in Pakistan (SNIP) – Food Fortification Programme,45788942.0
Suffolk Sourcing,2018-03-19T11:03:20Z,"Gas Servicing, Repairs and Maintenance",
Echelon Consultancy Ltd,2018-10-17T16:00:51Z,Longhurst Group Heating Contract,
Aspire Housing,2017-12-08T12:06:18Z,Aspire Housing: Framework Agreement for the Supply of Electricity and Gas,41000000.0
"Ministry of Defence, DIO, Defence Infrastructure Organisation (DIO)",2018-04-28T10:42:11Z,"Oil Fuel Depot Gosport, Tank Farm Project",43647799.0
LHC,2020-02-11T11:25:43Z,Energy Efficiency Consultancy Services,
EASTERN PROCUREMENT LIMITED,2018-05-08T13:28:04Z,Heating Works,40000000.0
Fusion21 Members Consortium,2020-03-09T17:45:06Z,Fusion21 Heating and Renewables Framework,40000000.0
City of London Corporation,2018-07-05T09:55:17Z,Supply of Electricity and Gas,
Echelon Consultancy Ltd,2019-04-05T07:31:01Z,Longhurst Group Heating Contract,38875837.9
SUFFOLK COUNTY COUNCIL,2016-08-03T16:14:17Z,The flexible supply of electricity and natural gas,
City of London Corporation,2018-10-17T09:56:26Z,Electricity (HH and NHH) Flexible Purchase,35097027.0
Hampshire County Council,2017-01-17T16:04:32Z,Supply of Heating Oils and Road Fuels,
Hampshire County Council,2017-03-31T16:27:05Z,Supply of Heating Oils and Road Fuels - AWARD,40000000.0
Islington,2015-09-14T15:15:42Z,"1415-873 Natural Gas, 100kw & Sub 100kw Electricity",
The University of Leicester,2018-07-30T08:39:21Z,Framework for Fixed Term and Flexible Energy Contracts,34000000.0
NEPO,2016-07-22T14:38:47Z,NEPO307 Supply of Liquid Fuels,49846148.0
Essex County Council,2018-09-22T11:50:11Z,Mitie Supply of Electricity and Gas Tender On Behalf of Essex County Council,32824800.0
Stoke-on-Trent City Council,2017-12-08T13:21:18Z,Planned Works Framework,32760000.0
FAMILY MOSAIC HOUSING,2016-02-15T10:56:11Z,"Responsive Repairs, Maintenance and Minor/Improvement Works Frameworks",32500000.0
Islington,2020-01-20T09:51:28Z,1819-0105 - Gas and Electricity supply 2020-2024,32000000.0
Islington Council,2019-07-16T15:41:01Z,1819-0105 - Gas and Electricity supply 2020-2024,
Wandsworth Borough Council,2019-08-23T12:40:04Z,"The servicing and maintenance of district, communal heating systems and gas appliances serving domestic dwellings boroughwide",31958301.2
Circle Housing Group,2016-07-19T16:05:33Z,Contract for the Provision of Gas Safety Certification and Planned and Reactive Maintenance Services to Domestic Installations in Housing Stock,
London & Quadrant Housing Trust,2018-11-30T12:35:50Z,Utilities Energy Brokers and Consultancy,
Nottinghamshire County Council,2017-07-20T11:31:16Z,EM Lawshare  Framework Contract for Legal Services,
The National Association of School Business Management,2016-06-09T16:44:26Z,NASBM Energy Framework,
Cathedral Schools Trust,2020-04-06T17:45:05Z,"Fully Managed Framework for Electricity Non Half-Hourly, Half-Hourly, Unmetered Supply and Mains Gas",30000000.0
NEUPC Ltd,2020-03-09T09:10:04Z,"HE Framework for Supply, Installation and management of Data Centre Management equipment and Infrastructure (2019)",30000000.0
MINISTRY OF DEFENCE,2019-09-25T15:38:27Z,Supply & Delivery of F-35 into CLH-PS,28666666.67
NHS SUPPLY CHAIN,2016-11-11T16:03:30Z,Point of Care,
MINISTRY OF DEFENCE,2017-01-25T15:36:09Z,Bulk Fuels Framework Agreement - DFFS/5072 - Invitation to Compete - DFFS/5072/0001 - Supply of F-35 into the CLH-PS - March 2017,0.0
LONDON & QUADRANT HOUSING TRUST LIMITED,2019-10-03T16:32:58Z,"Annual Domestic Gas Heating System Inspection, Service, Repair & Maintenance",
Fusion21 Members Consortium,2018-06-06T17:45:13Z,Fusion21 Grounds Maintenance Framework,28000000.0
MINISTRY OF DEFENCE,2017-02-03T13:45:44Z,Bulk Fuels Framework Agreement - DFFS/5072 - Invitation to Compete - DFFS/5072/0002 - Supply of F-35 and F-76 FOB - PJOBS - March 2017,0.0
Lancashire County Council,2016-10-13T16:45:18Z,Supply of NHH Electricity to Lancashire County Council,27093750.0
Nottingham City Council,2019-07-03T11:24:37Z,CPU 1876 Electricity Supply Tender,26400000.0
Department Of International Trade,2017-10-10T15:44:09Z,DN281458 Provision of Event Management Services for Lots 2-7,26250000.0
"LEIDOS SUPPLY, LIMITED",2017-08-11T14:19:29Z,Future Lubricants Project 3,27031807.84
Southern Housing Group,2016-04-01T16:44:31Z,"Responsive Repairs, Void Property Works, Cyclical Decorations & General Maintenance Work",26000000.0
STAFFORDSHIRE COUNTY COUNCIL,2019-11-18T16:22:16Z,The Supply of Planned & Reactive Maintenance & Minor Works (Framework Agreement),
Echelon Consultancy Ltd,2018-02-21T23:30:32Z,Charnwood Capital Works (Decent Homes) Contract,26958133.3
Advantage South West,2017-08-07T09:59:05Z,"Gas heating system servicing, maintenance, repair and selected replacement and associated services",
CHESHIRE EAST COUNCIL,2016-02-25T10:27:40Z,Energy Supply Contract (Gas and Electricity),24000000.0
MINISTRY OF DEFENCE,2019-12-18T15:49:01Z,Supply & Delivery of F35 & F76,23492611.12
One Vision Housing,2015-11-06T10:20:39Z,Consultancy framework,66000.0
Progress Housing Group,2017-04-24T08:28:09Z,Property Services Reactive and Planned Works DPS,
NORTH WESTERN UNIVERSITIES PURCHASING CONSORTIUM LIMITED,2019-08-28T16:12:26Z,Gas Equipment Maintenance and Repair Services,21000000.0
Dover District Council,2016-07-05T13:56:19Z,Gas Servicing & Heating Installations,
MINISTRY OF DEFENCE,2019-09-11T14:34:17Z,"Supply & Delivery of 35,000m3 of F-76 to Loch Striven (DDP)",20459320.0
East Riding of Yorkshire,2017-12-22T09:24:43Z,45-18 Liquid Fuels,
ESPO,2019-01-24T15:32:16Z,"106_19 - Lubricating Oils, Greases & Antifreeze",20000000.0
ESPO,2019-05-02T09:57:11Z,512_19 Utility Metering,
Business Energy and Industrial Strategy,2019-07-19T14:52:23Z,Hydrogen Supply Programme,4846102.72
Department for Business Energy and Industrial Strategy,2019-10-04T12:31:03Z,"Purchasing, Distribution and Administration of Solid Fuel Benefits to qualifying former employees (or their widows) of the coal industry",20000000.0
Origin Housing Limited,2020-03-16T17:45:10Z,Origin Housing Ltd - National Electricity and Gas Procurement Framework,20000000.0
EASTERN PROCUREMENT LIMITED,2017-10-09T14:15:49Z,Eastern Procurement Compliance Framework,20000000.0
Braintree District Council,2017-03-15T16:39:42Z,"Supply, Install, Maintenance of Gas & Oil Boilers for Commercial & Domestic",20000000.0
Origin Housing Limited,2019-11-20T17:45:05Z,Origin Housing Ltd - National Electricity and Gas Procurement Framework,
Braintree District Council,2015-10-01T12:00:01Z,"Supply, Install, Maintenance of Gas & Oil Boilers for Commercial & Domestic",
"West Mercia Energy (A Local Authority Joint Committee of Shropshire Council, Worcestershire County Council, Telford & Wrekin Council and Herefordshire Council).",2018-03-10T14:54:08Z,"WME 006 - A Framework Agreement for the Supply of Fixed Term, Fixed Price Natural Gas and Fixed Term, Fixed Price Electricity for Non Half Hourly, Half Hourly Metered and Certified Unmetered Supplies",20000000.0
East Thames Limited,2017-11-16T17:45:15Z,ETL - Maintenance and Compliancy Services and Works,19680000.0
Nottinghamshire County Council,2015-11-04T16:56:02Z,Repairs and Maintenance Framework for Property,
SOUTH YORKSHIRE PASSENGER TRANSPORT EXECUTIVE,2019-04-11T14:53:27Z,M&E Services - Lots 1 & 2,190000.0
DEPARTMENT FOR INTERNATIONAL DEVELOPMENT,2015-11-18T08:04:58Z,"DFID 7376 Facility for Oil Sector Transparency and Reform - Phase II, Nigeria",18998200.0
MINISTRY OF DEFENCE,2017-01-11T09:18:21Z,Supply of F-76 (FOB) to Loch Striven and Souda Bay - February 2017,0.0
DEFENCE RELATIONSHIP MANAGEMENT,2018-12-10T13:40:45Z,Bulk Fuels Framework Agreement - DFFS/5072 - Invitation to Compete - DFFS/5072/0054 - Supply of F-76 and F-44 (FOB) to Loch Striven - January 2019,0.0
MIDLAND HEART HOUSING LTD,2016-01-14T17:50:41Z,Energy Procurement and Assocaited Services,
Department for Work and Pensions,2018-04-18T15:08:53Z,"Utilities - Natural Gas Supply (Note: Published for completeness, see description for details)",18000000.0
London & Quadrant Housing Trust,2017-02-15T16:56:36Z,"Communal Heating & Hot Water Servicing, Maintenance & Repairs. - AWARD",17693414.81
MINISTRY OF DEFENCE,2020-03-18T12:39:40Z,Supply of F-44 and F-76,17500000.0
South East Consortium,2020-02-07T17:45:06Z,"Heating Servicing, Maintenance And Installations Tender for Soho Housing",17396225.0
Kirklees Council,2018-08-29T14:03:38Z,KMCBS-048 The Supply and Delivery of Stocked Building Materials (DPS),
Echelon Consultancy Ltd,2017-04-03T14:30:23Z,Charnwood Capital Works (Decent Homes) Contract,
LG Energy,2019-09-16T17:45:05Z,Energy,17000000.0
Espo,2015-04-24T08:51:27Z,"83N_15 Multi Temperature Food, Provisions and Non Food Distribution for Norse Commercial Services",16975300.0
Hull & East Yorkshire Hospitals NHS Trust,2019-04-01T17:45:05Z,Electric Power supply to Hull & East Yorkshire Hospitals NHS Trust,16200000.0
East Of England NHS Collaborative Hub,2019-12-09T16:52:12Z,Analysis and Reconciliation Services,
East Thames Limited,2017-02-22T17:45:04Z,ETL - Maintenance and Compliancy Services and Works,
London Borough of Barking and Dagenham,2020-01-31T14:00:18Z,Construction of Barking Town Centre District Heating Network and Energy Centre,
East Of England NHS Collaborative Hub,2020-03-26T09:37:43Z,Analysis and Reconciliation Services,16100000.0
MINISTRY OF DEFENCE,2018-08-07T15:42:43Z,Bulk Fuels Framework Agreement - DFFS/5072 - Invitation to Compete - DFFS/5072/0042 - Supply and Delivery (DDP) of F-76 and F-44 to Loch Striven - September 2018,15675000.0
CTM Portal for the NDA Shared Services Alliance,2020-01-12T15:00:43Z,Supply of Bulk & Cylinder Gases,
MINISTRY OF DEFENCE,2018-02-28T12:35:10Z,"Bulk Fuels Framework Agreement - DFFS/5072 - Invitation to Compete - DFFS/5072/0031 - Supply and Delivery of 25,000m3 of F-35 into the CLH-PS - April 2018.",0.0
MINISTRY OF DEFENCE,2016-03-24T13:33:56Z,"FOR TRANSPARENCY ONLY - DFFS/5012/0052 - Supply of fuel for PJOBs, October 2015",15594000.0
MINISTRY OF DEFENCE,2016-03-24T13:20:40Z,"FOR TRANSPARENCY ONLY - DFFS/5012/0048 - Supply of F-76 to Singapore, September 2015",15520000.0
MINISTRY OF DEFENCE,2018-07-26T15:44:50Z,Bulk Fuels Framework Agreement - DFFS/5072 - Invitation to Compete - DFFS/5072/0041 - Supply and Delivery (DDP) of F-35 into the CLH-PS - September 2018,0.0
MINISTRY OF DEFENCE,2018-07-06T12:10:51Z,DFFS/5072/0040 - Supply and Delivery (DDP) of F-76 To Loch Striven  - July/August 2018,0.0
MINISTRY OF DEFENCE,2018-03-16T09:57:53Z,Bulk Fuels Framework Agreement - DFFS/5072 - Invitation to Compete - DFFS/5072/0032 - Supply and Delivery of F35 and F76 - PJOBS - April 2018.,0.0
Dover District Council,2019-09-19T15:17:37Z,"Heating Systems Servicing, Maintenance and Inspections with Installation Works",18592850.0
MINISTRY OF DEFENCE,2019-07-30T15:26:36Z,Call off from Framework Agreement - DFFS/5072/0071 - Supply and Delivery Of F-35 and F-76 to the Falkland Islands,0.0
Ark Housing Consultancy,2019-08-09T09:49:56Z,Accent Housing Limited - Heating Servicing & Repair Contract,
COMMERCIAL MEDICINES UNIT,2018-08-17T11:32:14Z,"NHS National Framework Agreement for the supply of Nitric Oxide Therapy.  To include the supply of gas, rental of cylinders and delivery equipment, maintenance and consumables",15000000.0
Echelon Consultancy Ltd,2019-04-04T16:31:02Z,Muir Integrated Asset Management Contract,20189635.8
Echelon Consultancy Ltd,2018-07-05T14:30:45Z,Muir Integrated Asset Management Contract,
Cherwell District Council,2015-10-23T14:23:45Z,Utility Infrastructure Procurement -Graven Hill Village Development Company Ltd,
Places for People Group Limited,2020-02-08T09:00:47Z,Portfolio Gas,15000000.0
NHS London Procurement Partnership,2020-02-11T10:17:50Z,National Framework Agreement for Nitric Oxide Therapy,
"Ministry of Defence, Ships, Warship Support",2016-11-28T07:24:08Z,"REPAIR AND OVERHAUL, TEST CAPABILITY FOR WR21 GAS TURBINE ENGINES",15000000.0
MINISTRY OF DEFENCE,2017-11-23T14:30:10Z,Bulk Fuels Framework Agreement - DFFS/5072 - Invitation to Compete - DFFS/5072/0024 - Supply of F-35 and F-76 (FOB) to Cyprus and Falkland Islands - December 2017,0.0
Cobalt Housing e-Tendering,2020-02-17T13:22:28Z,"Meet the Buyer Event- Maintenance Tender, including Responsive Repairs & Voids, 3 Star Gas Servicing and Electrical Testing 2020 - 2023, +2yrs, +2yrs",
ORIGIN HOUSING LIMITED,2015-11-26T11:14:38Z,"Origin Housing Gas Servicing, Breakdown and Installation Contract (Domestic and Commercial)",
MINISTRY OF DEFENCE,2016-03-24T13:05:01Z,"FOR TRANSPARENCY ONLY - DFFS/5012/0045 - Supply of F-35 into GPSS, September 2015",14087000.0
Karbon Homes,2018-11-05T15:00:12Z,CA4419 - Materials Supply for Karbon Homes,7629212.0
Manchester City Council,2018-12-10T14:04:38Z,TC970 - Supply of Electricity,17000000.0
RAND ASSOCIATES CONSULTANCY SERVICES LTD,2015-12-10T14:51:42Z,"Christian Action Housing - Responsive Repairs, Voids, Planned and Cyclical Maintenance Term Contract",14000000.0
Islington,2017-11-03T13:19:24Z,"1718-0068 Building Materials, Euipment, Tool Hire and Plant Hire Supply",
MINISTRY OF DEFENCE,2019-05-23T12:23:49Z,Bulk Fuels Framework Agreement - DFFS/5072 - Invitation to Compete - DFFS/5072/0067 - Supply and Delivery of F-35 (DDP) into the CLH-PS - July 2019.,0.0
MINISTRY OF DEFENCE,2016-03-24T12:22:42Z,"FOR TRANSPARENCY ONLY - DFFS/5012/0040 - Supply of F-35 into the GPSS, July 2015",13790000.0
MINISTRY OF DEFENCE,2018-09-03T12:08:21Z,Bulk Fuels Framework Agreement - DFFS/5072 - Invitation to Compete - DFFS/5072/0046 - Supply and Delivery of F-76 to Loch Striven - October 2018,0.0
