,Notice Identifier,Notice Type,Organisation Name,Status,Published Date,Title,Description,Nationwide,Postcode,Region,Cpv Codes,Contact Name,Contact Email,Contact Address 1,Contact Address 2,Contact Town,Contact Postcode,Contact Country,Contact Telephone,Contact Website,Attachments,Links,Additional Text,Start Date,End Date,Closing Date,Is sub-contract,Parent Reference,Suitable for SME,Suitable for VCO,Supply Chain,OJEU Contract Type,Value Low,Value High,Awarded Date,Awarded Value,Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE],Supplier's contact name,Contract start date,Contract end date,OJEU Procedure Type,Accelerated Justification
129,STOCK001-DN414334-49655039,Contract,Stockport Metropolitan Borough Council,Closed,2019-07-08T09:36:22Z,Development Partner for Residential Mixed Use Development within Stockport Town Centre (part of Transport Interchange Facility and associated Green Space Park),"Development Partner for Residential Mixed Use Development within Stockport Town Centre (part of Transport Interchange Facility and associated Green Space Park).1.2	The proposed scheme includes the development of a new state of the art transport Interchange, a residential development (adopting a Private Rented Sector commercial model and comprising c196 units in a mixture of 126 Two bed & 70 One bed units finished to a high standard) with provision for car parking spaces and commercial/amenity space beneath (the ""Residential Development""), a raised podium creating high quality ""green"" public space, enhanced connectivity to the town's rail station and River Mersey frontage, together with a range of additional ancillary infrastructure.",,,North West,45000000 60000000 70000000 ,Michael Fanning,michael.fanning@star-procurement.gov.uk,"4th Floor, Waterside House",Waterside Plaza,Sale,M33 7ZF,England,+44 1619121616,http://www.stockport.gov.uk/,,https://procontract.due-north.com/Advert?advertId=77622943-3789-e911-80f7-005056b64545 ,,09/04/2020,31/10/2034,19/07/2019,NO,,No,No,No,Works,40000000.0,40000000.0,,,,,,,CompetitiveDialog ,
130,LPPUCLPPS01-DN368798-52655971,Contract,Partners Procurement Service,Awarded,2019-07-17T16:20:53Z,STRAT5577 - Non-Emergency Patient Transport Services,"Partners Procurement Service (PPS), on behalf of Whittington Health NHS Trust (""the Trust"") has procured a framework agreement for the provision of non-emergency patient transport services (the ""Framework Agreement"") that will be available to all current and future members of North Central London sustainability and transformation partnership (NCL STP) members and Royal Free London NHS Foundation Trust group members (together, ""Participating Authorities"") who may access the Framework Agreement during its term and enter into contracts under it.                                                                                                                                                   
This procurement and resulting Framework Agreement is split into two lots:                                                                                         
Lot 1 is ""Eligibility and Booking Services""                                                                                                                                                
Lot 2 is ""Patient Transport Service (PTS)"".",,,London,60000000 ,,rf.ppstenders@nhs.net,Service Level,"Royal Free Hospital, Pond Street",London,NW3 2QG,England,,,,https://procontract.due-north.com/Advert?advertId=15b0599a-ebcd-e811-80ef-005056b64545 ,,09/07/2019,08/07/2023,28/05/2019,NO,,No,No,No,Services,75000000.0,75000000.0,08/07/2019,66908271.49,"[DHL Supply Chain Limited|251 Midsummer Boulevard, Milton Keynes, Bucks, England, MK9 1EA|NONE||No|No]",,09/07/2019,08/07/2023,Restricted ,
131,BIP77203407,Contract,"Ministry of Defence, Land Equipment, Other",Awarded,2019-07-28T11:21:04Z,Provision of whole aircraft charter for the transportation of military and government cargo and personnel worldwide,"The Authority has a requirement for whole aircraft charter for the transportation of military cargo and personnel worldwide. The Authority requires the ability to access commercial aircrafts in order to augment its military fleet in times of operational surge or to transport exceptional loads. Suppliers are required to provide flexible access to the commercial whole aircraft charter market in a dynamic and fast moving military environment.
      
      The requirement has been split into four Lots and no commitment Framework Agreements have been awarded to Suppliers under each of the following Lots.
      Lot 1 - Cargo 
      Lot 2 -Cargo Emergency
      Lot 3 - Passenger
      Lot 4 - Passenger Compassionate",,,Any region,60423000 60424120 60424100 60424110 60420000 ,,DESDSCOM-CCF-Commerical@mod.gov.uk,"Cedar 3C, Mailpoint #3351",MOD Abbey Wood,Bristol,BS34 8JH,UK,,,,,"To view this notice, register as a supplier here:
        
        http://www.contracts.mod.uk/delta/signup.html?userType=supplier
        
        and search for the notice with reference 'UK-Bristol: Non-scheduled air transport services.'.",01/08/2019,31/07/2023,11/06/2019,NO,,Yes,No,No,Services,57295000.0,151270000.0,11/06/2019,57295000.0,"[Agility Project Logistics Ltd|Unit 6 North
        Radius Park
        Faggs Road
        Feltham, Middlesex
        TW14 0NG|NONE||No|No][Air Charter Services Ltd|Millbank House
        171-185 Ewell Road
        Surbiton
        Surrey
        KT6 6AP|NONE||No|No][Air Partner plc|2 City Place
        Beehive Ring Road
        Gatwick
        West Sussex
        RH6 0PA|NONE||No|No][Chapman Freeborn Airchartering Ltd|3 City Place
        Beehive Ring Road
        Gatwick
        West Sussex
        RH6 0PA|NONE||No|No][Damco UK Ltd|Suffolk Place
        Parker Avenue
        Felixstowe
        Suffolk
        IP11 4BB|NONE||No|No][ACC Aviation Ltd|Priory Gate
        18 Castlefield Road
        Reigate
        Surrey
        RH2 0AP|NONE||No|No]",,01/08/2019,31/07/2023,Restricted ,
132,HCC1911637,Contract,Supply Hertfordshire,Closed,2019-09-11T10:00:45Z,HCC - 09/19 - The Provision of Transport Infrastructure and Planning Services,"Hertfordshire is entering a period of historic growth, with 100,000 more homes, 100,000 more jobs, and a 15% increase in traffic envisaged during the next 15 years. The Council and its partners have a responsibility to plan positively for this, addressing the challenges this creates by shaping this growth to 2031 and beyond. 
      
      To this end, the Council has adopted a number of strategies outlining its response to these challenges, most notably the Local Transport Plan 4. Aiming to achieve a step change in travel behaviour by setting the framework for sustainable development and mode shift in Hertfordshire, its successful delivery requires a unified, collaborative approach both within the Council and with its partners.
      
      The services, refined through market testing, aim to provide the Council and its partners with the breadth of expertise and experience required to ensure 'good growth' in Hertfordshire. 
      
      Ranging from initial spatial planning work through to design and development of major infrastructure, as well as the modelling work, transport appraisals, and environmental assessments required in between, many of the outlined services will sit alongside in-house staff or existing providers.
      
      Please Note The TUPE Staffing Information for this procurement has been provided along with other documentation for this procurement. TUPE related information must be treated as protected data in accordance with the requirements of the Data Protection Act 1998 and must be kept confidential.   By clicking on the View Details button and accessing the documentation for this procurement, Tenderers agree:
      
      a) To undertake to treat the information as confidential and commercially sensitive at all times and take all reasonable steps to prevent any inadvertent disclosure to any third party .
      b) That under no circumstances will any of the information be disclosed by your organisation or your personnel  to any third party  without the Council's prior consent in writing.
      c) That the information supplied will be stored securely and destroyed or returned to the Council, after your Organisation's bid has been submitted or you decide not to proceed with a tender submission. 
      d) That you will indemnify the Council for any  losses,  arising from your breach or breach by any of your personnel of these confidentiality requirements specified above and data protection requirements in relation to TUPE Staffing Information.
      e) The requirements above apply whether the supplier uploads a tender response to this procurement or not.
      
      This procurement is an Open (one stage process).  Suppliers wishing to take part in this project are invited to 'express interest' which will give access to the full procurement  documents in the e-tendering system. 
      
      To be considered as a Bidder you must complete and submit a Bid by the deadline of 12.00 Noon on 25th October 2019
      
      Any questions relating to this procurement must be made via corre...",,SG13 8DE,East of England,71300000 71313410 71631000 71340000 90711200 71311100 71311210 71313400 71319000 71315200 90711000 71336000 71320000 71313430 90700000 71313420 71322200 71500000 71322500 71316000 71631400 71313450 71326000 73220000 71330000 71520000 72310000 71322300 71313440 90712100 90500000 71311300 73200000 71630000 72316000 71313000 71530000 71325000 60100000 90711100 71000000 71314100 71323000 71313100 71322100 90710000 90712000 71510000 79400000 71315000 71311000 90711500 71800000 90000000 71327000 71600000 73210000 90711300 71311200 71621000 71335000 71540000 71322000 72313000 72314000 72300000 90711400 71328000 71324000 71311220 60112000 73000000 71310000 ,Sarah Baldwin1 (HCC),sarah.baldwin1@hertfordshire.gov.uk,Pegs Lane,Hertford,Hertfordshire,SG13 8DE,United Kingdom,01992 658102,,,https://in-tendhost.co.uk/supplyhertfordshire/aspx/ ,"
Please register or log in to www.supplyhertfordshire.uk to access the suite of documentation and submit a bid

Is a Recurrent Procurement Type? : No",01/04/2020,31/03/2023,25/10/2019,NO,,Yes,No,No,Services,22845000.0,30460000.0,,,,,,,OpenOJEU ,
133,WILTS001-DN262220-33647895,Contract,Wiltshire Council,Open,2019-09-18T10:48:25Z,Wiltshire Council Passenger Transport  DPS Sept 2017,"Wiltshire Council (the 'Council') intends to establish a Dynamic Purchasing System to improve procurement procedures to reflect best practice and to make the procurement of Passenger Transport services as efficient as possible for both the Council and suppliers.

The Council's main aim is to appoint multiple suppliers to a Dynamic Purchasing System for the provision of passenger transport services which will be divided in to 2 lots:

Lot 1 is for vehicles 16 seats and larger;

Lot 2 will be for small and specialist vehicles below 16 seats.",,,South West,60000000 ,Dave Gillett,david.gillett@wiltshire.gov.uk,Wiltshire Council,"County Hall, Bythesea Road",Trowbridge,BA14 8JN,England,+44 1255713371,http://www.wiltshire.gov.uk/,,https://procontract.due-north.com/Advert?advertId=6584ed03-b33b-e711-80e1-005056b64545 ,,01/09/2022,02/09/2022,31/08/2022,NO,,Yes,Yes,No,Services,110000000.0,110000000.0,,,,,,,Other ,
134,TOWER001-DN436819-72362294,PreProcurement,Tower Hamlets,Closed,2019-10-03T14:23:17Z,HAC5591  Community Transport Passenger Services DPS,"Provision of specialist and caring services to meet statutory community transport for vulnerable children, youths and adults, most of whom are not in a position to care for themselves. Therefore, passengers will be reliant on the care and vigilance of all staff, regardless of whether they are a driver or a passenger assistant. The Council is holding a 'Supplier Market Testing' Event to engage with Suppliers able to deliver the Services and discuss the proposed requirements and procurement process.
For avoidance of doubt this is not a call for competition at this stage, the purpose is to advise the market on the forthcoming procurement and seek ideas from the market that may inform the final specification. The event will take place on Friday 1st November 2019.
Venue: Mulberry Place, 5 Clove Crescent, London E14 2BG.
Time: 12:30pm to 14:30pm
Please note you must register to attend.
Please send expressions of interest to attend to procurement quoting 'passenger transport': onprocurement@towerhamlets.gov.uk . by no later than 29th October 2019",,,London,34115200 34120000 60130000 60140000 60170000 75200000 ,Ambia Begum,procurement@towerhamlets.gov.uk,Mulberry Place,,London,E14 2BG,England,+44 2073640785,http://www.towerhamlets.gov.uk,,,"Organisations wishing to participate in the future opportunity are requested to register on the London Tenders Portal (www.londontenders.org) where the opportunity documentation will be available for download. Organisations must ensure that access to the system is available to their representatives dealing with the project and that this contact is updated as and when required.
The majority of the transport opportunities sourced through the DPS will be required mainly for the following reasons:
1.	for Special Educational Needs and Disability (SEND) children/young persons, transport will be required to and from home to school/college, 
2.	for adult's, transport will be required in order for them to access community support service, respite centres and other provision, 
3.	other transport requirements for children's services, and adult social care.
",01/02/2020,30/09/2027,01/01/2020,NO,,No,No,No,,10000000.0,10000000.0,,,,,,, ,
135,LEICSCITY02-DN370369-45671955,Contract,Leicester City Council,Closed,2020-01-06T00:00:00Z,PAN2061 - Vulnerable Passenger Transport Services Framework,"Leicester City Council (the Council) invites Tenders for the provision of vulnerable passenger transport services.
The proposed Framework Agreement will be for two years with an option to extend for a period or periods totalling no more than a further two years.  We anticipate that 20 Providers shall be awarded a place on Framework Agreement. 
The Council procures journeys for children, young people and adult service users, as well as for Council staff using taxi providers.  These journeys are commonly planned e.g. trips to and from school or unplanned e.g. one-off journeys to an appointment. These taxi journeys supplement those provided by the Council's fleet of in-house buses. A given service user may be transported exclusively by taxi or bus or a combination of the two.
Service users using taxis require additional support or supervision which is provided through a passenger assistant, arranged by the taxi provider.  Some service users using taxis have additional needs of the vehicle e.g. the size of vehicle or ramps and wheelchair accessibility.  Some service users need the driver and/or passenger assistant to have specialist training e.g. how to help someone with a medical condition such as epilepsy.
The service is demand led and the volume of work may therefore increase or decrease over time. In 2018-19, approximately 200,000 journeys were commissioned.
",,,East Midlands,60120000 ,Hussain Dakri,hussain.dakri@leicester.gov.uk,City Hall (4th Floor),115 Charles Street,Leicester,LE1 1FZ,United Kingdom,+44 1164540685,http://www.leicester.gov.uk,,,,01/08/2020,31/07/2022,17/01/2020,NO,,Yes,No,No,Services,22416400.0,22416400.0,,,,,,,Open ,
136,NYCC001-DN418665-28760915,Contract,North Yorkshire County Council,Awarded,2020-02-11T00:00:00Z,"Craven, Ryedale and Miscellaneous 2020 Area Review of Home to School Transport and Local Bus Services",North Yorkshire County Council transport review of home to school transport and local bus services in the Craven and Ryedale areas. Some miscellaneous services in other areas of North Yorkshire may also be included.,,,Yorkshire and The Humber,60000000 ,Graham Pearey,procurement@northyorks.gov.uk,North Yorkshire County Council,County Hall,Northallerton,DL7 8AD,United Kingdom,+44 1609532081,http://www.northyorks.gov.uk/,,,,20/04/2020,19/04/2022,07/11/2019,NO,,Yes,Yes,No,Services,42000000.0,42000000.0,21/01/2020,22217516.18,[See additional details below|See additional details below|NONE||No|No],,20/04/2020,19/04/2024,Open ,
137,ACE-0215-2015-NEE,Contract,ATTAIN COMMISSIONING SERVICES LTD,Closed,2015-04-13T17:17:12Z,Non-Emergency Patient Transport Services in North East Essex,"NHS North East Essex Clinical Commissioning Group is tendering for Non-Emergency Patient Transport Service (NEPTS) that is inclusive of an Assessment and Booking Service for the registered general practice population of North East Essex. The approximate number of NEPTS journeys over the 2014/15 financial year (extrapolated to Full Year Effect) was 97,000 (including minimum of 9106 escorts). 

The procurement process will be a traditional restricted procedure. 

To express an interest in this project and access the PQQ documents and all other information concerning the procurement, please go to the Bravo website at: 
https://attain.bravosolution.co.uk

Click on ‘Register here’ and follow the on screen instructions. 

Please note that expressions of interest will not be accepted by any means other than through the Bravo e-tendering system. 

The closing date for submitting PQQ bids is 12:00 on 18th May 2015.",,C045JR,,34114000 ,Maninder Singh Dulku,maninder.dulku@attain.co.uk,PCC Building,Turner Road,Colchester,C045JR,England,,,Attain eTendering Portal Guide.docx ,,,01/04/2016,31/03/2021,18/05/2015,NO,,Yes,No,No,Services,12500000.0,13500000.0,,,,,,,Restricted ,
138,DSCOM/CB/2213,Contract,MINISTRY OF DEFENCE,Awarded,2015-04-28T09:12:28Z,Provision of Air Transport for Military Cargo,"MOD has a requirement for ad-hoc chartering of air transportation for the movement of military Cargo worldwide. Although there will be no guaranteed levels of business, the MOD intends to establish a Framework Agreement for 4 years.",,,Any region,60423000 ,Paul Kenyon,paul.kenyon681@mod.uk,"Cedar 3a, Mailpoint #3338",MOD Abbey Wood,Bristol,BS34 8JH,England,030 679 81179,,20150417-Cargo_Framework_Agreement_Statement_of_Work-O.doc 20150422-2213_DEFFORM_47-O.doc 20150422-2213_Appendix_2_to_DEFFORM_47_Technical_Scoring_Criteria-O.doc 20150422-2213_Good_Standing-O.doc 20150422-2213_DEFFORM_28ABW-O.doc 20150422-2213_Annex_B_Tasking_Process-OC.xls 20150422-2213_DEFFORM_539A-OSC.doc 20150422-2213_DEFFORM_30-O.doc 20150422-2213_Terms_and_Conds_FINAL-OC.doc Defence Contract Notice  MOD-DCO.txt 20150422-2213_Appendix_1_to_DEFFORM_47_Tender_Submission_Document_(Offer)-O.doc 20150422-2213_DEFFORM_111-O.doc ,,,01/08/2015,31/07/2019,04/06/2015,NO,,Yes,No,No,Services,75000000.0,0.0,21/07/2015,1.0,"[Agility Project Logistics Ltd; Air Charter Services; Air Partner|- Agility;  Unit 6 North, Radius Park, Faggs Road, Feltham, TW14 0NG
 - Air Partner;  Millbank House, 191-185 Ewell Road, Surbiton, Surrey, KT6 6AP
 - Air Charter;  2 City Place, Beehive Ring Road, Gatwick, Crawley, RH10 6PU
 - Damco;  Suffolk Place, Parker Avenue, Felixtowe, Suffolk, IP11 4BB
 - Heavyweight;  Unit 3, Cygnus Court, Beverley Road, East Midlands Airport, Derby, DE74 2SA
 - National;  Cargo City South, Building 537F, Frankfurt Airport, Frankfurt, D-60549
 - Ruslan;  Endaevour House, Coop|||No|No]",,01/08/2015,19/07/2019,Restricted ,
139,873042958,Contract,Bury Council,Closed,2015-08-20T14:42:27Z,Inclusion on Bury Council's Framework of Approved Operators for the provision of Home to School & College Transport,"Bury Council is seeking tenders from suitably qualified and experienced operators to be included on the framework agreement to provide transport for children and young adults with special educational needs to schools and colleges both within and outside the borough of Bury. The passengers using this service will have a range of additional needs; learning difficulties, behavioural difficulties, sensory, hearing and visual difficulties, autistic spectrum disorder or physical disability. A passenger escort will be allocated to a schedule where required to accompany the passengers on their journey to and from school or college. However, some passengers are able to travel unaccompanied.  The contract is for the period 1 September 2015 to 31 August 2018 with an option to extend for a further twelve months.  Please see the attached contract information for further details.",,,North West,60120000 60170000 ,Nicola Hudson,n.hudson@bury.gov.uk,3 Knowsley Place,Duke Street,Bury,BL9 0EJ,UK,0161 253 5676,https://www.the-chest.org.uk/procontract/supplier.nsf,,https://www.the-chest.org.uk/procontract/supplier.nsf/frm_opportunity?OpenForm&contract_id=CONTRACT-9TDN-9KX30C ,To express an interest in the contract and gain access to the tender documentation please log in to www.the-chest.org.uk ,01/09/2015,31/08/2018,27/03/2015,NO,,No,No,No,Services,50000000.0,60000000.0,,,,,,, ,
140,ET06506,Contract,Hampshire County Council,Closed,2015-08-25T09:01:36Z,"Generation 3 Framework One Civil Engineering, Highways and Transportation Infrastructure Works 2016 – 2020","Hampshire County Council invites applications from suitably experienced organisations who wish to be
considered for selection to tender for the Generation 3 Civil Engineering, Highways and Transportation
Infrastructure Works Framework One 2016 to 2020.
The purpose of this Tender is to procure a framework of Suppliers to provide general highway improvement
works, minor structural improvement works, public authority civil engineering works and associated small value
construction work up to an individual project value of £450,000.
The Framework will commence on 01/04/2016 and will be for a period of 48 months.
Interested parties should register their interest in the project via the In-Tend website https://in-tendhost.co.uk/
hampshire, and complete and submit the Pre-Qualification Questionnaire (PQQ) together with any supporting
information requested by 14:00 on 21/09/2015.

How to obtain the PQQ / Tender Documents

The PQQ can be accessed when logged into to In-Tend by selecting ‘View Details’ on the relevant tender advert
and clicking the ‘Express Interest’ tab. Once in the tender there are five tabs – ‘Tender’, ‘PQQ – documents’,
Correspondence’, ‘Clarifications’ and ‘History’. Select the 2nd tab (PQQ) where you will find useful information
under ‘Tender Details’ continue to scroll down to the heading ‘Tender Documents Received’ where you will be
able to view / download the documents.
Further Guidance
In addition, guidance on how to participate in a tender – download & upload documents / returns and if required,
register your company (free of charge), can be found on the In-Tend site under the ‘Help’ or ‘information for
Suppliers’ buttons.
It is intended to issue successful applicants with final tender documents in late October. The deadline for
submission of tender responses will be November 2015.
Receiving Notification Emails
To ensure you receive email alerts and notifications from our system, please add the email domain ‘@intend.
co.uk’ to your Safe Senders list.",,SO23 8UL,South East,45233139 34922100 45233160 34996100 44113800 45233290 44113810 45233210 45220000 45233252 45342000 45111000 45233142 45233140 45233141 45232451 45233253 45233223 34992100 45232450 45233161 45232452 45233270 45233220 45262300 45233150 45233221 45112500 45233162 45233125 ,Karen Spencer,karen.spencer@hants.gov.uk,76 High Street,Winchester,Hampshire,SO23 8UL,United Kingdom,01962 845301,,,https://in-tendhost.co.uk/Hampshire/aspx/ ,Is a Recurrent Procurement Type? : No https://in-tendhost.co.uk/Hampshire/aspx/,01/04/2016,31/03/2020,21/09/2015,NO,,Yes,Yes,No,Works,30000000.0,30000000.0,,,,,,,Restricted ,
141,A3CF-LCZ23V-A3FJ-BGAJO9,Contract,Darlington Borough Council,Closed,2015-10-19T13:54:33Z,"Dynamic Purchasing System (DPS) for Home to School, Special Educational Needs and Vulnerable Adult Passenger Transport Services","Dynamic Purchasing System (DPS) for Home to School, Special Educational Needs and Vulnerable Adult Passenger Transport Services",,DL1 5QT,North East,60000000 ,Stephanie Cox,Stephanie.cox@darlington.gov.uk,Town Hall,,Darlington,DL1 5QT,UK,01325 405498,,,,,01/04/2016,31/03/2019,18/11/2015,NO,,Yes,No,No,Services,45000000.0,55000000.0,,,,,,,Restricted ,
142,ET06506 - AWARD,Contract,Hampshire County Council,Awarded,2016-03-15T12:24:42Z,"Generation 3 Framework One Civil Engineering, Highways and Transportation Infrastructure Works 2016 – 2020 - AWARD","Hampshire County Council invites applications from suitably experienced organisations who wish to be
considered for selection to tender for the Generation 3 Civil Engineering, Highways and Transportation
Infrastructure Works Framework One 2016 to 2020.
The purpose of this Tender is to procure a framework of Suppliers to provide general highway improvement
works, minor structural improvement works, public authority civil engineering works and associated small value
construction work up to an individual project value of £450,000.
The Framework will commence on 01/04/2016 and will be for a period of 48 months.
Interested parties should register their interest in the project via the In-Tend website https://in-tendhost.co.uk/
hampshire, and complete and submit the Pre-Qualification Questionnaire (PQQ) together with any supporting
information requested by 14:00 on 21/09/2015.

How to obtain the PQQ / Tender Documents

The PQQ can be accessed when logged into to In-Tend by selecting ‘View Details’ on the relevant tender advert
and clicking the ‘Express Interest’ tab. Once in the tender there are five tabs – ‘Tender’, ‘PQQ – documents’,
Correspondence’, ‘Clarifications’ and ‘History’. Select the 2nd tab (PQQ) where you will find useful information
under ‘Tender Details’ continue to scroll down to the heading ‘Tender Documents Received’ where you will be
able to view / download the documents.
Further Guidance
In addition, guidance on how to participate in a tender – download & upload documents / returns and if required,
register your company (free of charge), can be found on the In-Tend site under the ‘Help’ or ‘information for
Suppliers’ buttons.
It is intended to issue successful applicants with final tender documents in late October. The deadline for
submission of tender responses will be November 2015.
Receiving Notification Emails
To ensure you receive email alerts and notifications from our system, please add the email domain ‘@intend.
co.uk’ to your Safe Senders list.",,SO23 8UL,South East,45233139 34922100 45233160 34996100 44113800 45233290 44113810 45232450 45220000 45233252 45342000 45111000 45233150 45233142 45233140 45233141 45232451 45233253 45233223 34992100 45233161 45232452 45233270 45233220 45262300 45233210 45233221 45112500 45233162 45233125 ,Karen Spencer,karen.spencer@hants.gov.uk,76 High Street,Winchester,Hampshire,SO23 8UL,United Kingdom,01962 845301,,,,,01/04/2016,31/03/2020,21/09/2015,NO,,Yes,Yes,No,Works,30000000.0,30000000.0,03/03/2016,3750000.0,"[Amey Hampshire|Sheridan House, 40-43 Jewry Street, Winchester, Hampshire, United Kingdom, SO23 8RY|||No|No][Caroway Contractors Ltd|Station Yard, Bowes Hill, Rowlands Castle, Hants, United Kingdom, PO9 6BP|||No|No][Colas Ltd|Wallage Lane, Rowfant, Crawley, West Sussex, United Kingdom, RH10 4NF|||No|No][Dyer & Butler Ltd|Mead House, Station Road, Nursling, Southampton, United Kingdom, SO16 0AH|||No|No][Hope & Clay (Construction) Ltd|Thornford Road, Headley, Thatcham, Berks, United Kingdom, RG19 8AG|||No|No][Lockhams Construction Ltd|Unit 6, Shedfield Equestrian Centre, Botley Road, Shedfield, Hampshire, United Kingdom, SO32 2HN|||No|No][Mildren Construction Limited|120 Matchams Lane, Hurn, Christchurch, Dorset, United Kingdom, BH23 6AN|||No|No][Rocon Contractors Ltd|Vyne Lodge Farm, Vyne Road, Bramley, Basingstoke, Hampshire, United Kingdom, RG26 5DX|||No|No]",,01/04/2016,31/03/2020,Restricted ,
143,CF1V3-20160405-00001791,Contract,Cambridgeshire County Council ,Closed,2016-04-06T15:16:28Z,"Intelligent Transport Systems, Framework Agreement","The Framework Agreement is for the maintenance of Traffic Signals and other Intelligent Transport Systems. The Potential Provider will also be required to supply and install new traffic signal systems, except those supplied through third party projects such as for new developments. Service provision will be across the five administrative areas of  Cambridgeshire County Council, Peterborough City Council, Luton Borough Council, Bedford Borough Council and Central Bedfordshire Council.",,,East of England,34996000 45233294 45316212 50232200 ,DN123444,strategic.procurement@cambridgeshire.gov.uk,Cambridgeshire County Council,"Shire Hall,",Cambridge,CB3 0AP,UK,+44 1604367608,https://www.lgssprocurementportal.co.uk,,,"Please visit www.lgssprocurementportal.co.uk to formally register your interest in this opportunity and to access the tender documentation.
See below - Short Contract Description  ",04/09/2016,03/09/2020,05/05/2016,NO,,No,No,No,Services,10500000.0,15000000.0,,,,,,, ,
144,CF1V3-20160415-00001975,Contract,Leicester City Council,Closed,2016-04-15T15:08:59Z,PAN1158 - Vulnerable passenger transport ,"Leicester City Council invites tenders for the provision of passenger transport services for vulnerable adults and elderly people, children with special educational needs, patient transfers and other groups of young people. A framework agreement of suitable taxi firms is being sought, divided into four lots, according to the type of journey. Service providers on the framework agreement will then be invited to quote for packages of journeys as they become available. In total there are between 5,000 and 10,000 journeys per week (accounting for around £4 million per annum) which falls by at least half during the school holidays. The proposed contract will be for one year with an option to extend for up to two further years. Lots are as follows: 1a General requirements/Council employees on Council business 1b General requirements with passenger assistants 1c Travel in a wheelchair 1d Travel in a wheelchair with passenger assistant",,,East Midlands,60000000 ,Kayley Lakin,kayley.lakin@leicester.gov.uk,City Hall (4th Floor),115 Charles Street,Leicester,LE1 1FZ,UK,+44 1164546786,http://www.leicester.gov.uk/,,,"Please see tender documentation.
As above ",01/07/2016,30/06/2019,16/05/2016,NO,,No,No,No,Services,12000000.0,12000000.0,,,,,,, ,
145,CF1V3-20160420-00002038,Contract,LGSS,Closed,2016-04-20T15:09:27Z,Northamptonshire County Council Transport Services Framework 2016,"Northamptonshire County Council (the ?Authority?) wishes to invite Tenders for the supply of services in respect of Passenger Transport Services. This Framework will commence on 1.6.2016 is for the initial period of 2 years, with an option to extend for a further 2, 12 month period extensions making 4 years in total.",,,East Midlands,60000000 ,DN124412,procurement@northamptonshire.gov.uk,John Dryden House,8-10 The Lakes,Northampton,NN4 7YD,UK,+441604669655,https://www.lgssprocurementportal.co.uk/,,,"Northamptonshire County Council (the ?Authority?) wishes to invite Tenders for the supply of services in respect of Passenger Transport Services. This Framework will commence on 1.6.2016 is for the initial period of 2 years, with an option to extend for a further 2, 12 month period extensions making 4 years in total. Over a 4 year period, it is anticipated that the Authority and the OCB's named in Section 1.1.14 are likely to spend an estimated 62 300 000 GBP on transport. There are no anticipated minimum or maximum number of providers on this Framework.

The Call-off Contracts awarded under this Framework will be quite varied based on the requirements of vehicle size. Contracts will be awarded for the following vehicle capacities:
 ? 5 to 8 seat vehicle;
 ? 9 to 16 seat vehicle;
 ? 17 to 50 seat vehicle;
 ? 51 + seat vehicle.
 Estimated value excluding VAT: 
Range: between 62 000 000 and 120 000 000 GBP

Opportunity Project reference: DN124412 ",01/06/2016,31/05/2020,16/05/2016,NO,,No,No,No,Services,120000000.0,120000000.0,,,,,,, ,
146,HARROW001-DN169216-28379233,Contract,Harrow Council,Closed,2016-07-05T12:56:11Z,Hired Passenger Transport Framework,"This framework agreement is commissioned by the London Borough of Harrow and Brent (The 'Authorities')for the provision of door-to-door passenger transport services for vulnerable adults, young people and forotherpublic bodies across London that may wish to make use of these services.

To access all tender documents please go to www.londontenders.org

",,,London,34110000 60140000 60130000 60170000 34114000 ,Lisa Taylor,lisa.taylor@harrow.gov.uk,Civic Centre,,Harrow,HA1 2XY,UK,+44 2084209219,http://www.harrow.gov.uk,,https://procontract.due-north.com/Advert?advertId=0bfec05a-f241-e611-8114-000c29c9ba21 ,,01/09/2016,31/08/2023,04/08/2016,NO,,No,No,No,Services,30000000.0,30000000.0,,,,,,,Open ,
147,LGSS001-DN123444-18508851,Contract,Cambridgeshire County Council ,Awarded,2016-08-12T14:16:03Z,"Intelligent Transport Systems, Framework Agreement","The Framework Agreement is for the maintenance of Traffic Signals and other Intelligent Transport Systems. Required to also supply and install new traffic signal systems, except those supplied through third party projects such as for new developments. Service provision will be across the five geographical areas of Cambridgeshire County Council, Peterborough City Council, Luton Borough Council,Bedford Borough Council and Central Bedfordshire Council.",,,East of England,34996000 45233294 45316212 50232200 ,Cambridgeshire County Council,procurement@northamptonshire.gov.uk,Shire Hall,Castle Hill,Cambridge,CB3 0AP ,UK,,http://www.lgss.co.uk,,https://procontract.due-north.com/Advert?advertId=1564738c-f8f7-e511-810f-000c29c9ba21 ,,04/09/2016,03/09/2020,05/05/2016,NO,,Yes,Yes,No,Services,10500000.0,10500000.0,05/07/2016,10500000.0,"[Imtech Traffic & Infra UK (Dynniq)|Hazelwood House, Lime Tree Way, Chineham Business Park, Hampshire,
Basingstoke RG24 8WZ |||No|No]",,04/09/2016,03/09/2020,Open ,
