Organisation Name,Published Date,Title,Awarded Value
Highways England,2018-12-05T09:33:11Z,Smart Motorways Alliance and Associated Works,
Crown Commercial Service,2020-01-20T08:47:22Z,Technology Products and Associated Services (TePAS) - Lot 2,6500000000.0
Crown Commercial Service,2019-06-13T13:04:31Z,Technology Products and Associated Services,
Crown Commercial Service,2020-01-20T08:46:55Z,"Technology Products and Associated Services (TePAS) Lots 1,3 & 4",6500000000.0
MINISTRY OF DEFENCE,2016-03-03T15:53:42Z,Logistics Commodities & Services (Transformation) Delivery Partner Contract,6200000000.0
"HealthTrust Europe LLP (HTE) acting as agent for the University Hospitals of Coventry and Warwickshire NHS Trust (""UHCW"")",2019-10-17T10:29:42Z,Framework Agreement for the Provision of Enterprise Level ICT Solutions 2019 - Contracts Finder Award Notice,6000000000.0
SCAPE INVESTMENTS LIMITED,2017-06-22T15:48:27Z,National Construction Framework,7000000000.0
CROWN COMMERCIAL SERVICE,2017-07-17T08:29:53Z,Public Sector Travel and Venue Services,
Crown Commercial Service,2018-03-13T08:40:13Z,Public Sector Travel and Venue Solutions,5100000000.0
Home Office,2020-02-26T13:19:51Z,Public Safety Radio Communications Service - Police,5389480000.0
LHC,2017-07-27T09:52:38Z,"Schools , Community Buildings and refurbishment Works",5500000000.0
HIGHWAYS ENGLAND COMPANY LIMITED,2018-11-01T17:13:59Z,Collaborative Delivery Framework,0.0
The Royal Wolverhampton NHS Trust,2019-02-15T15:32:32Z,Pathology Managed Services Framework,
EAST MIDLANDS STRATEGIC COMMERCIAL UNIT,2019-07-15T14:37:19Z,ICT VAR Framework,
Crown Commercial Service,2019-08-19T09:59:57Z,Network Services 2,5000000000.0
Crown Commercial Service,2019-12-09T14:48:45Z,"Network Services 2 (Lots 5, 10 & 13)",5000000000.0
London Borough of Bromley,2018-06-29T14:12:10Z,"The Pioneer Academy,  Stewart Fleming Primary School: Phase 2",4575000000.0
THE UNITED KINGDOM HYDROGRAPHIC OFFICE,2017-04-05T14:03:03Z,Brand Development,73950.0
Home Office,2000-01-22T00:00:00Z,"Public Safety Radio Communications Service.Published for completeness, see description for details",4442000000.0
DEPARTMENT FOR WORK AND PENSIONS,2015-01-19T15:10:25Z,Employment Related Support Service,
MINISTRY OF DEFENCE,2016-02-10T14:44:04Z,TRANSPARENCY ONLY - Bulk Fuels Framework Agreement,
Crown Commercial Service,2019-07-15T09:30:22Z,"Postal Goods, Services and Solutions",
Crown Commercial Service,2019-12-18T09:58:25Z,"RM6017 Postal Goods, Services and Solutions",4140000000.0
CROWN COMMERCIAL SERVICE,2015-09-07T14:30:38Z,RM1054 Technology Products,4000000000.0
ESPO,2019-04-15T10:17:01Z,653F_19 Managed Services for Temporary Agency Resources (MSTAR3),3600000000.0
Department Of Health (Government),2019-11-04T19:45:26Z,ProCure 22 National Framework for Design and Construction in England,4000000000.0
Crown Commercial Service,2020-02-07T11:01:26Z,Waste Services,
Ministry of Justice.,2018-12-04T09:52:02Z,Prison Operator Services Framework Agreement,
Department for Work and Pensions,2017-08-07T08:43:27Z,DWP Estates Contractor Framework,
Highways England,2020-04-01T09:50:19Z,Scheme Delivery Framework (SDF),
"Ministry of Defence, Helicopters, Other",2016-09-11T09:33:04Z,AH-64E (AH Mk2) Support and Training Service,3500000000.0
"Ministry of Defence, Weapons, Defence General Munitions (DGM) Project Team",2019-07-18T08:50:04Z,Project ABEL,
Peabody,2019-11-03T07:10:03Z,Thamesmead Waterfront Development,8000000000.0
NHS ARDEN AND GREATER EAST MIDLANDS,2017-06-09T17:14:46Z,Multi-Specialty Community Provider (MCP) - Dudley,
NHS SUPPLY CHAIN,2015-02-27T11:02:00Z,"Orthopaedic Joint Replacement including implants, bone cement and bone cement mixing devices",
HOME OFFICE,2017-12-04T09:44:08Z,Asylum Accommodation and Support Services Contract (AASC),
YPO,2019-05-23T09:20:44Z,YPO - 000940 Managing Consultancy and Professional Services,
NHS London Procurement Partnership,2019-06-13T11:06:20Z,Information Management and Technology (Including Managed Service),
NHS London Procurement Partnership,2019-10-04T08:31:31Z,Health and Social Care Apps DPS,
YPO,2020-01-21T00:00:00Z,YPO - 000942 Managing Temporary and Permanent Recruitment,3000000000.0
Crown Commercial Service,2018-12-21T12:07:05Z,Vehicle Purchase,3000000000.0
NPS Property Consultants Ltd,2015-08-24T16:45:32Z,The Social Infrastructure Development (SID) Framework,0.0
London Borough of Barnet,2016-09-12T16:45:09Z,Brent Cross Cricklewood South Development Partner,3000000000.0
"Ministry of Defence, Weapons, Defence General Munitions (DGM) Project Team",2018-02-12T10:27:15Z,Project ABEL,
"HealthTrust Europe LLP (HTE) acting as agent for the University Hospitals of Coventry and Warwickshire NHS Trust (""UHCW"")",2019-12-17T16:12:42Z,Total Workforce Solutions II,
"Ministry of Defence, Weapons, Defence General Munitions (DGM) Project Team",2018-06-04T11:02:42Z,Project ABEL,
"Ministry of Defence, Weapons, Defence General Munitions (DGM) Project Team",2018-06-11T09:22:53Z,Project ABEL,
Department for Education,2020-02-19T15:16:23Z,DfE Offsite Schools Framework (Incorporating Modular and MMC delivery).,3000000000.0
DEPARTMENT FOR INTERNATIONAL DEVELOPMENT,2018-10-11T15:34:17Z,DFID 8373 DFID International Multi-Disciplinary Programme Framework Agreement (IMDP) Contract Notice,
CROWN COMMERCIAL SERVICE,2017-06-01T15:12:01Z,Project Management and Full Design Team Services,2875000000.0
Crown Commercial Service,2019-02-26T08:43:03Z,Data and Application Solutions,0.0
N E L Commissioning Support Unit,2016-10-14T15:10:46Z,London 2017-2019 Contract Awards for Prescribed Specialised Services,
HIGH SPEED TWO (HS2) LIMITED,2017-04-21T09:42:59Z,HS2 Rolling Stock and Maintenance Services,
"Ministry of Defence, IMOC, Other",2017-07-09T11:27:16Z,LCS(T)/0001 - Additional Commodities VEAT,2750000000.0
Office of Gas and Electricity Markets,2018-11-30T13:15:12Z,Tender Round 6 (TR6) for the grant of three offshore transmission licences,
NHS England,2018-12-13T12:21:27Z,NHS Framework Agreement for Branded Medicines - National,
"NHS England, Yorkshire and the Humber ",2016-02-08T09:29:35Z,"Sheffield City GP Medical Centre, The Clover Group and Westwood Medical Centre",484016013.0
Harrow Council,2019-06-25T09:31:24Z,Harrow Strategic Development Partnership,
CROWN COMMERCIAL SERVICE,2015-04-30T10:04:19Z,Vehicle Purchase RM1070,0.0
CROWN COMMERCIAL SERVICE,2015-04-30T10:07:38Z,Vehicle Purchase RM1070,0.0
CROWN COMMERCIAL SERVICE,2015-04-30T10:10:35Z,Vehicle Purchase RM1070,0.0
CROWN COMMERCIAL SERVICE,2015-04-30T10:13:40Z,Vehicle Purchase RM1070,0.0
CROWN COMMERCIAL SERVICE,2015-04-30T10:17:16Z,Vehicle Purchase RM1070,0.0
Burnley College,2020-03-27T17:45:07Z,Procure Partnerships (National Minor Works) Framework,2500000000.0
CROWN COMMERCIAL SERVICE,2015-04-30T10:04:52Z,Vehicle Purchase RM1070,0.0
CROWN COMMERCIAL SERVICE,2015-04-30T10:07:59Z,Vehicle Purchase RM1070,0.0
CROWN COMMERCIAL SERVICE,2015-04-30T10:10:57Z,Vehicle Purchase RM1070,0.0
CROWN COMMERCIAL SERVICE,2015-04-30T10:14:00Z,Vehicle Purchase RM1070,0.0
CROWN COMMERCIAL SERVICE,2015-04-30T10:17:45Z,Vehicle Purchase RM1070,0.0
CROWN COMMERCIAL SERVICE,2015-04-30T10:05:12Z,Vehicle Purchase RM1070,0.0
CROWN COMMERCIAL SERVICE,2015-04-30T10:08:22Z,Vehicle Purchase RM1070,0.0
CROWN COMMERCIAL SERVICE,2015-04-30T10:11:17Z,Vehicle Purchase RM1070,0.0
CROWN COMMERCIAL SERVICE,2015-04-30T10:14:21Z,Vehicle Purchase RM1070,0.0
CROWN COMMERCIAL SERVICE,2015-04-30T10:18:17Z,Vehicle Purchase RM1070,0.0
CROWN COMMERCIAL SERVICE,2015-04-30T10:05:34Z,Vehicle Purchase RM1070,0.0
CROWN COMMERCIAL SERVICE,2015-04-30T10:08:44Z,Vehicle Purchase RM1070,0.0
CROWN COMMERCIAL SERVICE,2015-04-30T10:11:42Z,Vehicle Purchase RM1070,0.0
CROWN COMMERCIAL SERVICE,2015-04-30T10:14:48Z,Vehicle Purchase RM1070,0.0
CROWN COMMERCIAL SERVICE,2015-04-30T10:18:43Z,Vehicle Purchase RM1070,0.0
CROWN COMMERCIAL SERVICE,2015-04-30T10:02:11Z,Vehicle Purchase RM1070,0.0
CROWN COMMERCIAL SERVICE,2015-04-30T10:05:53Z,Vehicle Purchase RM1070,0.0
CROWN COMMERCIAL SERVICE,2015-04-30T10:09:03Z,Vehicle Purchase RM1070,0.0
CROWN COMMERCIAL SERVICE,2015-04-30T10:12:04Z,Vehicle Purchase RM1070,0.0
CROWN COMMERCIAL SERVICE,2015-04-30T10:15:09Z,Vehicle Purchase RM1070,0.0
CROWN COMMERCIAL SERVICE,2015-04-30T10:19:18Z,Vehicle Purchase RM1070,0.0
CROWN COMMERCIAL SERVICE,2015-04-30T10:02:36Z,Vehicle Purchase RM1070,0.0
CROWN COMMERCIAL SERVICE,2015-04-30T10:06:17Z,Vehicle Purchase RM1070,0.0
CROWN COMMERCIAL SERVICE,2015-04-30T10:09:26Z,Vehicle Purchase RM1070,0.0
CROWN COMMERCIAL SERVICE,2015-04-30T10:12:30Z,Vehicle Purchase RM1070,0.0
CROWN COMMERCIAL SERVICE,2015-04-30T10:15:30Z,Vehicle Purchase RM1070,0.0
"Ministry of Defence, Agencies/Misc, Other",2017-11-06T12:51:08Z,Engineering Delivery Partner,
CROWN COMMERCIAL SERVICE,2015-04-30T10:03:12Z,Vehicle Purchase RM1070,0.0
CROWN COMMERCIAL SERVICE,2015-04-30T10:06:43Z,Vehicle Purchase RM1070,0.0
CROWN COMMERCIAL SERVICE,2015-04-30T10:09:52Z,Vehicle Purchase RM1070,0.0
CROWN COMMERCIAL SERVICE,2015-04-30T10:12:53Z,Vehicle Purchase RM1070,0.0
CROWN COMMERCIAL SERVICE,2015-04-30T10:15:52Z,Vehicle Purchase RM1070,0.0
DEFENCE EQUIPMENT & SUPPORT,2018-11-01T15:46:54Z,Engineering Delivery Partner Arrangement,2500000000.0
CROWN COMMERCIAL SERVICE,2015-04-30T10:03:34Z,Vehicle Purchase RM1070,0.0
CROWN COMMERCIAL SERVICE,2015-04-30T10:07:16Z,Vehicle Purchase RM1070,0.0
CROWN COMMERCIAL SERVICE,2015-04-30T10:10:17Z,Vehicle Purchase RM1070,0.0
CROWN COMMERCIAL SERVICE,2015-04-30T10:13:18Z,Vehicle Purchase RM1070,0.0
CROWN COMMERCIAL SERVICE,2015-04-30T10:16:56Z,Vehicle Purchase RM1070,0.0
Association Of North East Councils,2019-06-28T14:22:33Z,NEPO503 Neutral Vendor Managed Service for Specialist Professional Services (NEPRO3),4500000000.0
"Ministry of Defence, Ships, Other",2019-04-26T10:27:08Z,FMSP Submarine Engineering at Devonport and Clyde,2114000000.0
Haringey Council,2015-10-04T10:42:03Z,Strategic Partner toSsupport the Customers Services Transformation Programme,2085000000.0
YPO,2015-12-22T13:36:59Z,YPO - 000569 The Provision of HR Services and Solutions,6000000000.0
YPO,2015-07-09T14:22:36Z,YPO - 000569 The Provision of HR Services and Solutions,
YPO,2015-07-09T14:23:20Z,YPO - 000569 The Provision of HR Services and Solutions,
Hampshire County Council,2019-05-02T09:30:41Z,Southern Construction Framework 4 - AWARD,0.0
Hampshire County Council,2018-10-08T10:03:06Z,Southern Construction Framework 4,
DEPARTMENT OF HEALTH,2015-11-24T09:37:35Z,ProCure22 National Framework for Construction.,
CROWN COMMERCIAL SERVICE,2016-12-01T10:19:46Z,Technology Products 2,2000000000.0
CROWN COMMERCIAL SERVICE,2016-12-22T15:36:11Z,Management Consultancy,
The University Of Manchester,2019-09-12T09:27:57Z,ID Manchester,
EAST RIDING OF YORKSHIRE COUNCIL,2019-04-18T10:04:32Z,CM127 - YORcivil Major Works Contractors Framework Agreement,
Crown Commercial Service,2019-09-12T10:52:27Z,Non Clinical and Temporary Fixed Term Staff,2000000000.0
The Mayor and Burgesses of the London Borough of Haringey,2016-01-14T08:33:01Z,Haringey Development Vehicle,
Crown Commercial Service,2019-11-04T11:41:59Z,"Water, Wastewater and Ancillary Services (2)",
Crown Commercial Service,2019-11-07T09:13:45Z,National Fuels (2),
Transport for London,2017-07-13T15:07:59Z,London Development Panel 2,
Sheffield City Council,2020-02-06T10:14:54Z,YORcivil Major Works Contractors Framework Agreement,2000000000.0
St Helens College,2018-06-29T17:45:09Z,Procure North West (Build) Framework,2000000000.0
Hyde Housing Association,2020-01-23T10:10:14Z,Main Contractor Framework,2000000000.0
CROWN COMMERCIAL SERVICE,2015-09-25T11:12:07Z,Multidisciplinary Temporary Healthcare Personnel Framework Services,2000000000.0
Hyde Housing Association,2020-01-24T11:30:50Z,Main Contractor Framework,2000000000.0
Crown Commercial Service,2019-05-14T19:02:22Z,Non Clinical Temporary and Fixed Term Staff,
Crown Commercial Service,2019-04-29T10:02:16Z,G-Cloud 11,
Department of Health,2018-03-01T10:26:20Z,"CSC Local Service Provider (LSP) North, Midlands and East       Note: Published for completeness, see description for details",2072000000.0
HS2,2018-01-30T10:49:37Z,Railway Systems Lots 1 and 2 Procurement for Phase 1 and 2a of the HS2 Project,
Crown Commercial Service,2020-03-03T15:25:26Z,G-Cloud 12,
DEPARTMENT OF HEALTH,2015-01-27T12:01:28Z,Branded - National Proprietary Pharmaceutical Products,
Sanctuary Housing Group,2017-07-13T10:25:32Z,Main Contractor Framework,
"NHS SOUTH, CENTRAL AND WEST COMMISSIONING SUPPORT UNIT",2016-10-14T15:06:34Z,NHS England Wessex: 2017 - 2019 Contract Awards for Prescribed Specialised Services,
Department of Health,2018-03-01T11:14:29Z,"NHS Supply Chain       Note: Published for completeness, see description for details",1659000000.0
Espo,2015-04-22T13:03:18Z,653F_15 Managed Services for Temporary Agency Resources (MSTAR2).,1600000000.0
NHS SUPPLY CHAIN,2015-11-19T15:11:14Z,Maintenance & Repair of Medical equipment,
NHS SUPPLY CHAIN,2015-12-23T15:20:33Z,Maintenance & Repair of Medical equipment,1594538044.0
Crown Commercial Service,2019-10-25T15:15:24Z,Digital Outcomes and Specialists 4,1570000000.0
Crown Commercial Service,2019-07-08T13:32:10Z,OJEU Notice Digital Outcomes and Specialists 4 Framework Agreement,
DEFENCE EQUIPMENT & SUPPORT,2019-05-22T11:13:20Z,Supply of Fleet Solid Support Vessels,
"Ministry of Defence, Air Support, Air ISTAR",2016-05-12T13:45:03Z,Multi-Mission Aircraft,1550000000.0
Ministry of Justice.,2018-06-22T09:35:57Z,Prisoner Escort and Custody Services In England and Wales (Generation 4),
NHS SUPPLY CHAIN,2016-02-25T09:16:22Z,Imaging Radiotherapy Endoscopy and Ancillary Devices,1538517000.0
MINISTRY OF JUSTICE,2015-04-27T12:56:26Z,"Contract for the Design, Construction, Management and Financing of a Custodial Services at HMP Parc",1519963610.0
HS2,2019-05-22T15:20:35Z,HS2 Phase One Stations: Construction Partner Contracts - Lot 1 Euston,1512000000.0
Transport for London (Commercial Services),2015-02-10T23:44:08Z,United Kingdom-London: Real estate services,
Project Selborne - To Provide a Training Service for Royal Navy and Royal Marines,2018-11-25T16:39:13Z,Project Selborne - Provision of a Training Service to the Royal Navy and Royal Marines,
Bath and North East Somerset Council,2020-02-25T09:01:32Z,Bath Clean Air Zone (CAZ) Financial Assistance Scheme,
HAMPSHIRE COUNTY COUNCIL,2016-02-03T10:32:09Z,Hampshire Highways Service Contracts (HHSC),
Hampshire County Council,2017-02-23T11:34:36Z,Hampshire Highways Service Contract (HHSC) - AWARD,1600000000.0
Leeds City Council,2019-07-22T16:36:27Z,CM128 - YORbuild Major Works Contractors Framework Agreement,
Manchester City Council Trading as North West Construction Hub,2017-12-21T13:01:50Z,TC621 North West Construction Hub High Value Framework (2018 to 2022),
Crown Commercial Service,2018-12-03T09:08:44Z,"Vehicle Lease, Fleet Management and Flexible Rental Solutions",
Crown Commercial Service,2019-03-25T13:33:03Z,Workplace Services (FM Marketplace Phase 2) - Lot 1,1500000000.0
NEST Scheme Administration,2019-05-13T08:56:25Z,Provision of Nest Scheme Administration Services,
oneSource,2017-08-22T10:54:57Z,"Redevelopment of Carpenters Estate, London Borough of Newham, E16 2QU.",
Crown Commercial Service,2019-08-29T17:09:47Z,"Vehicle Lease, Fleet Management and Flexible Rental Solutions",1500000000.0
Crown Commercial Service,2019-11-06T10:36:59Z,Management Consultancy Services (MCS),
Crown Commercial Service,2018-04-13T09:49:22Z,Utilities Switching Services,1500000000.0
Crown Commercial Service,2019-11-04T13:14:33Z,Utilities Switching Services (DPS),
NHS England,2019-08-09T15:57:38Z,NHS Framework Agreement for Branded Medicines - National,1351341890.0
LHC,2015-10-27T10:18:20Z,Energy Efficiency and Refurbishment (N7 — WS2/3 Framework),1400000000.0
NHS SUPPLY CHAIN,2019-08-16T08:27:34Z,"Imaging, Radiotherapy and Ancillary Devices and Associated Accessories",
CROWN COMMERCIAL SERVICE,2015-02-24T15:45:01Z,Crown Travel and Venue Service,
Trafford Council,2017-07-10T10:28:37Z,GM Learning Disability and Autism Ethical Purchasing System,
Kent County Council,2019-10-03T11:57:37Z,"SC19 012 - Residential Care Home Services (Learning Disability, Physical Disability & Mental Health), Supported Living Services, Discharge Support Services, CSiH and Community Lunchtime Service",
CROWN COMMERCIAL SERVICE,2015-09-18T15:05:10Z,Facilities Management Services,4080000000.0
North Of England Commissioning Support,2016-10-14T15:53:54Z,NHS England (North) - North West - Contract Awards for Prescribed Specialised Services,
LHC,2015-04-14T07:28:59Z,"NH1 WS3 New homes Construction (London, England and Wales).",1260000000.0
"NHS SOUTH, CENTRAL AND WEST COMMISSIONING SUPPORT UNIT",2016-10-14T15:05:40Z,NHS England South West: 2017 - 2019 Contract Awards for Prescribed Specialised Services,
Crown Commercial Service,2018-09-21T09:24:15Z,Management Consultancy Framework 2 (MCF2) - Phase 2,1250000000.0
NHS England,2018-07-03T14:51:04Z,NHS Framework Agreement for Aflibercept injection and Ranibizumab injection,
Kent County Council,2019-03-19T13:32:37Z,Care and Support in the Home Services (Award Notice),1200000000.0
Islington,2019-04-08T14:11:33Z,1718-0257-New Build Construction Framework,
Harrow Council,2016-02-23T16:18:10Z,MCEP,
Crown Commercial Service,2018-10-31T15:32:41Z,Digital Outcomes and Specialist 3,1200000000.0
Crown Commercial Service,2018-12-12T12:54:42Z,Modular Buildings,
Telford & Wrekin Council,2019-03-11T13:18:02Z,Major Building Works,
Crown Commercial Service,2019-04-24T11:15:39Z,Modular Building Solutions,1200000000.0
Crown Commercial Service,2018-04-04T09:30:15Z,Fuel Cards and Associated Services,1200000000.0
MINISTRY OF JUSTICE,2015-04-22T13:22:20Z,"Contract for the Design, Construction, Management and Financing of a Custodial Services at HMP Altcourse",1182264763.0
CROWN COMMERCIAL SERVICE,2015-04-07T08:29:12Z,Crown Travel and Venue Services,
SCAPE GROUP LIMITED,2017-05-05T12:41:22Z,Scape Regional Construction Framework.,
SE Shared Services,2018-10-02T09:54:14Z,WSCC Dynamic Purchasing System for Children's Placements and Other Support Services (CPOSS),
SE Shared Services,2018-11-05T15:52:06Z,WSCC Dynamic Purchasing System for Children's Placements and Other Support Services (CPOSS) - Ongoing DPS,
Trafford Council,2018-07-24T10:13:45Z,Children and Young People's Residential Placements Flexible Procurement System Round 2,
"Ministry of Defence, Helicopters, Merlin Project Team",2018-02-11T12:57:28Z,Merlin and Apache AH Mk1 Engine Support.,
TRANSPORT FOR LONDON,2016-04-27T08:48:45Z,Commercial Advertising Partnership Agreement,1100000000.0
Trafford Council,2018-11-01T12:10:50Z,CHILDREN AND YOUNG PEOPLE FOSTER CARE Flexible Purchasing System (FPS),
Trafford Council,2019-02-18T15:09:56Z,CHILDREN AND YOUNG PEOPLE FOSTER CARE Flexible Purchasing System (FPS),
Leeds City Council,2019-08-01T10:56:30Z,White Rose - Children Looked After Residential Electronic Marketplace (EMP),1100000000.0
Trafford Council,2019-08-05T10:19:06Z,CHILDREN AND YOUNG PEOPLE FOSTER CARE Flexible Purchasing System (FPS),
Trafford Council,2019-09-11T11:18:34Z,CHILDREN AND YOUNG PEOPLE FOSTER CARE Flexible Purchasing System (FPS),
MINISTRY OF DEFENCE,2017-01-25T13:21:49Z,Bulk Fuels Framework Agreement (BFFA),0.0
"Ministry of Defence, Land Equipment, Defence Fuels and Food Services (DF&FS)",2016-12-26T08:21:11Z,DFFS/5072 Bulk Fuels Framework Agreement (BFFA),1085000000.0
Home Office,2019-02-06T10:18:14Z,AASC - Asylum Accommodation & Support Services Contract NW,1079000000.0
"NHS SOUTH, CENTRAL AND WEST COMMISSIONING SUPPORT UNIT",2019-09-10T09:51:02Z,"Adult Community Health Services in the Bristol, North Somerset and South Gloucestershire Clinical Commissioning Group area",1056052696.0
HS2,2019-10-16T10:01:08Z,HS2 Phase One Stations: Construction Partner Contracts - Lot 2 Old Oak Common,1054000000.0
Crown Commercial Service,2018-09-14T14:00:26Z,Management Consultancy Framework 2 (MCF2) - Phase 1,1050000000.0
"NHS SOUTH, CENTRAL AND WEST COMMISSIONING SUPPORT UNIT",2019-01-09T14:16:31Z,"Adult community health services in Bristol, North Somerset and South Gloucestershire",
East Riding of Yorkshire,2018-01-23T15:14:50Z,CM122 YORcivil 2 North and East Area Contractors Framework Agreement,324000000.0
East Riding Of Yorkshire Council,2016-12-05T15:04:08Z,CM122 YORcivil 2 North and East Area and YORcivil 2 South and West Area Contractors Framework Agreements,
Home Office,2019-02-06T10:20:39Z,AASC - Asylum Accommodation & Support Services Contract MEE,1030000000.0
Transport for London,2019-04-15T14:06:38Z,Debt Management and Enforcement Services,
London Borough of Southwark,2018-09-07T17:14:33Z,New Reablement Services (NRS),1000000.2009999999
CROWN COMMERCIAL SERVICE,2017-11-16T16:35:37Z,Technology Services 2,0.0
CROWN COMMERCIAL SERVICE,2015-06-26T13:58:53Z,Vehicle Purchase,
SOUTHAMPTON CITY COUNCIL,2018-04-04T13:56:08Z,FRAMEWORK AGREEMENT FOR CHILDREN'S RESIDENTIAL PLACEMENTS - CONSORTIA COMMISSIONING,
SOUTHAMPTON CITY COUNCIL,2019-07-31T11:08:04Z,Children's residential placements - Consortia Commissioning - Framework first re-opening August 2019,
"Ministry of Defence, DIO, Defence Infrastructure Organisation (DIO)",2019-02-17T13:43:04Z,Overseas Prime Contract(s),
"Ministry of Defence, DIO, Defence Infrastructure Organisation (DIO)",2019-02-23T07:14:06Z,Overseas Prime Contract(s),
"Ministry of Defence, DIO, Defence Infrastructure Organisation (DIO)",2017-03-31T11:21:36Z,Overseas Prime Contract,
"Ministry of Defence, IMOC, Defence Fuels Group",2018-12-21T12:44:18Z,Global Bulk Fuels Service (GBFS),
CTM Portal for the NDA Shared Services Alliance,2019-05-31T19:30:29Z,Programme and Project Partners (PPP Project) Lot 3 - Final Tender,1500000000.0
CTM Portal for the NDA Shared Services Alliance,2019-05-31T19:30:34Z,Programme and Project Parters (PPP Project) Lot 4 - Final Tender,1500000000.0
HS2,2017-08-29T17:43:33Z,HS2 Phase One Stations: Construction Partner Contracts  - Lot 2 Old Oak Common,
Wirral Borough Council,2017-07-31T11:34:46Z,Wirral Growth Company- Property/Asset JV,
Aspire Housing,2016-08-15T14:39:24Z,Aspire Housing: Framework for the Supply of Electricity & Gas,
"Ministry of Defence, DIO, Defence Infrastructure Organisation (DIO)",2019-07-19T09:15:32Z,Overseas Capital Framework,
Aspire Housing,2016-11-17T17:45:06Z,Aspire Housing: Framework for the Supply of Electricity & Gas,1000000000.0
Crown Commercial Service,2018-04-26T14:18:55Z,Supply Teachers and Temporary Staff in Educational Establishments,
"Ministry of Defence, DIO, Defence Infrastructure Organisation (DIO)",2019-07-25T14:22:05Z,Overseas Capital Framework,
NHS ENGLAND,2016-11-25T16:02:50Z,Primary Care Support (PCS) Services,1000000000.0
Crown Commercial Service,2018-09-24T16:39:00Z,Supply Teachers and Temporary Staff in Educational Establishments,1000000000.0
ESSEX COUNTY COUNCIL,2019-09-05T15:32:38Z,Care in a Residential Setting with or without Nursing (IRN),1000000000.0
NHS ENGLAND,2017-05-11T14:55:31Z,Branded - NHS National Proprietary Pharmaceuticals,
Association Of North East Councils,2019-12-12T14:22:00Z,NEPO507 - Travel Management Services,
"Ministry of Defence (MOD), Land Equipment, Operational Support Programmes (OSP)",2016-04-03T11:00:04Z,Protected Mobility Strategic Support Supplier (PM SSS),
DEPARTMENT OF HEALTH,2016-08-01T15:23:22Z,Branded - NHS National Proprietary Pharmaceuticals,
