Organisation Name,Published Date,Title,Awarded Value
MINISTRY OF DEFENCE,2015-08-28T08:10:20Z,CONTRACT FOR DEPLOYABLE TECHNICAL SUPPORT SYSTEMS (DTSS),8886000.0
BABCOCK INTERNATIONAL GROUP PLC,2019-09-18T11:06:13Z,Supply of General Military Consumables - Tools & Accessories Spares,1600000.0
"Ministry of Defence, DSG, Defence Support Group (DSG)",2016-09-10T14:30:00Z,The repair of High Pressure Pure Air Systems as fitted to Challenger 2,
"Ministry of Defence, Air Support, DE&S Airworthiness Team (DAT)",2016-02-25T08:09:03Z,Airworthiness Issues Management – Management of Information,
MINISTRY OF DEFENCE,2020-03-20T08:58:33Z,Provision of Military Air Worthiness Reviews,7775094.0
MINISTRY OF DEFENCE,2020-02-12T15:57:20Z,Sale & Disposal Military Spares (Maritime),7000000.0
"Ministry of Defence, IMOC, Defence Fuels Group",2018-01-18T15:25:26Z,Supply and Delivery of Bulk and Packed AVGAS 100 LL to the UK,5950458.33
"Ministry of Defence, IMOC, Defence Fuels Group",2017-08-19T14:21:07Z,Supply and Delivery of Bulk and Packed AVGAS 100 LL to the UK,
MINISTRY OF DEFENCE,2020-01-22T15:19:22Z,Provision of Military Training Vehicles at Defence School of Transport Leconfield and Associated Services,6716000.0
"Ministry of Defence, C&C, C&C",2020-01-24T10:20:05Z,Provision of Military Training Vehicles at Defence School of Transport (DST) Leconfield and Associated Services,6716000.0
"Ministry of Defence, C&C, C&C",2020-01-26T07:20:04Z,Provision of Military Training Vehicles at Defence School of Transport (DST) Leconfield and Associated Services,6716000.0
MINISTRY OF DEFENCE,2019-04-26T10:13:48Z,"TRANSPARENCY NOTICE: ITN for Design, Build and In-Service Support of Royal Navy Patrol Launches",
MINISTRY OF DEFENCE,2016-05-17T10:40:05Z,"Fleet management, repair and maintenance services",6500000.0
ESSEX COUNTY COUNCIL,2016-02-11T17:20:33Z,Essex Construction Professional Services Framework Agreement,
"Ministry of Defence, ISTAR, Chemical, Biological, Radiological and Nuclear Delivery Team (CBRN DT)",2019-05-19T18:37:19Z,The Supply and In-Service Support for Reconnaissance and Exploitation Team (RET),
MINISTRY OF DEFENCE,2015-06-10T10:10:26Z,Supply of Various Batteries,
Wiltshire Council,2018-07-02T15:25:10Z,WO0268 Ludgershall Perham Primary School,5400000.0
Torbay Council,2017-11-21T10:19:32Z,Torbay Airshow - Commercial Partner,5000000.0
"Ministry of Defence, C&C, C&C",2019-09-23T06:30:38Z,Provision of Military Training Vehicles at Defence School of Transport (DST) Leconfield and Associated Services,
"Ministry of Defence, Weapons, International Guns, Missiles and Rockets (IGMR) Project Team",2015-11-29T12:45:01Z,In-Service Support of the Phalanx – Close In Weapons Systems (CIWS),
MINISTRY OF DEFENCE,2015-05-27T09:22:44Z,Provision of a Military International Flight Planning System,4879095.0
"Ministry of Defence, Air Support, Air Commodities Project Team (AC PT)",2019-10-25T16:50:03Z,Support of High Intensity Strobe Light Equipment,4800000.0
"Ministry of Defence, DSG, Defence Support Group (DSG)",2017-01-09T08:57:04Z,IRM16/1318 - The Supply of Military Related Spare Parts and Associated Items - Mechanical/Fabricated Parts Related,
BABCOCK INTERNATIONAL GROUP PLC,2017-02-24T09:57:22Z,The Supply of Military Related Spare Parts and Associated Items - Mechanical/Fabricated Parts Related,
BABCOCK INTERNATIONAL GROUP PLC,2017-02-24T12:12:28Z,The Supply of Military Related Spare Parts & Associated Items - Major Platform Related,
BABCOCK INTERNATIONAL GROUP PLC,2017-09-06T10:02:35Z,The Supply of Military Vehicle Parts and Associated Items,
"Ministry of Defence, DSG, Defence Support Group (DSG)",2016-12-19T10:42:05Z,IRM16/1316 - The Supply of Military Related Spare Parts and Associated Items - Electronic Component Related,
"Ministry of Defence, DSG, Defence Support Group (DSG)",2017-10-22T07:33:06Z,IRM16/1316 - The Supply of Military Related Spare Parts and Associated Items - Electronic Component Related,2275816.0
"Ministry of Defence, DSG, Defence Support Group (DSG)",2017-11-17T10:27:07Z,IRM16/1316 - The Supply of Military Related Spare Parts and Associated Items - Electronic Component Related,2275816.0
BABCOCK INTERNATIONAL GROUP PLC,2017-02-24T14:16:47Z,The Supply of Military Related Spare Parts and Associated Items - Electronic Components,
"Ministry of Defence, DSG, Defence Support Group (DSG)",2016-12-19T10:42:08Z,IRM16/1317 - The Supply of Military Related Spare Parts and Associated Items - Major Platform Related,
"Ministry of Defence, DSG, Defence Support Group (DSG)",2016-12-19T10:42:10Z,IRM16/1318 - The Supply of Military Related Spare Parts and Associated Items - Mechanical/Fabricated Parts Related,
BABCOCK INTERNATIONAL GROUP PLC,2019-09-06T14:28:28Z,SUPPLY OF SPARES FOR THE ARMOURED TRACKED PLATFORMS,9000000.0
BABCOCK INTERNATIONAL GROUP PLC,2019-10-29T11:42:14Z,THE SUPPLY OF MISCELLANEOUS SPARE PARTS FOR MILITARY VEHICLES,16000000.0
BABCOCK INTERNATIONAL GROUP PLC,2019-09-06T14:32:13Z,SUPPLY OF SPARES FOR THE ARMOURED TRACKED PLATFORMS,8000000.0
BABCOCK INTERNATIONAL GROUP PLC,2019-10-29T11:55:06Z,THE SUPPLY OF SPARES FOR THE ARMOURED TRACKED PLATFORMS,15000000.0
"Ministry of Defence, DSG, Defence Support Group (DSG)",2017-01-09T08:51:09Z,IRM16/1316 - The Supply of Military Related Spare Parts and Associated Items - Electronic Component Related,
"Ministry of Defence, DSG, Defence Support Group (DSG)",2017-01-09T08:54:04Z,IRM16/1317 - The Supply of Military Related Spare Parts and Associated Items - Major Platform Related,
"Ministry of Defence, DSG, Defence Support Group (DSG)",2018-01-15T11:06:06Z,LSBU15/0045 - Repair of various Foxhound Repairables,
"Ministry of Defence, DSG, Defence Support Group (DSG)",2018-09-06T14:40:11Z,IRM16/1321 - Repair of Various electrical assemblies from the OSVP and PMVP Platforms,14500000.0
"Ministry of Defence, DSG, Defence Support Group (DSG)",2017-07-16T14:15:07Z,IRM16/1321 - Repair of Various electrical assemblies from the OSVP and PMVP Platforms,
DEFENCE EQUIPMENT & SUPPORT,2016-12-16T10:51:18Z,Provision of Upkeep Management Services for the CSS Team,3441889.72
DEFENCE EQUIPMENT & SUPPORT,2017-11-23T10:42:52Z,"Provision of Tactical Personal Water Craft, to include In-Service Support and Post Design Services",4582000.0
NEL Commissioning Support Unit,2017-10-20T20:45:23Z,Veterans' Mental Health Complex Treatment Service,
"Ministry of Defence, C&C, Other",2019-03-30T08:39:05Z,Professional OPFOR (Project HANNIBAL),
"Ministry of Defence, C&C, C&C",2019-04-28T09:33:03Z,Specialist Support for Joint Helicopter Command (JHC) Continuing Airworthiness Management Organisations (CAMOs),
"LEIDOS SUPPLY, LIMITED",2017-05-15T11:58:59Z,Dental Technical Services,
"Ministry of Defence, ISTAR, Chemical, Biological, Radiological and Nuclear Delivery Team (CBRN DT)",2016-09-10T09:12:04Z,CBRN/00215 APED In-Service Support,3166000.0
MINISTRY OF DEFENCE,2015-06-12T08:35:34Z,Provision of Civilian Aircraft and Fire & Crash Cover for Military Parchute Training,3079329.67
"Ministry of Defence, C&C, C&C",2017-05-24T09:52:57Z,CB/BFG/0110 Post Warranty Support for the MAN Support Vehicle Fleet in British Forces Germany,1768253.0
Leidos Supply,2020-02-28T12:10:39Z,LSL/DC/0086 - The Supply of Military and Civilian Safety Footwear,
"Ministry of Defence, Air Support, Air Commodities Project Team (AC PT)",2019-07-27T16:23:04Z,Support of High Intensity Strobe Light Equipment,3000000.0
DEFENCE EQUIPMENT & SUPPORT,2019-06-14T08:34:43Z,Contract Award Notice and Transparency Documents,2703655.0
"Ministry of Defence, Combat Air, UK Military Flying Training System (UKMFTS) Project Team",2020-03-07T13:40:02Z,Post Design Services for Viking Gliders,
"Ministry of Defence, Combat Air, UK Military Flying Training System (UKMFTS) Project Team",2015-12-12T12:57:02Z,The Provision of Support for Training Aircraft Information Management System (TIMS) UKMFTS/2016/02,2627000.0
"Ministry of Defence, Combat Air, UK Military Flying Training System (UKMFTS) Project Team",2016-04-07T09:06:05Z,The Provision of Support for Training Aircraft Information Management System (TIMS) UKMFTS/2016/02,2627000.0
"Ministry of Defence, Combat Air, UK Military Flying Training System (UKMFTS) Project Team",2020-02-09T14:50:06Z,Provision of Post Design Services to Viking Gliders,
Royal Artillery Museum Limited,2015-09-28T16:45:17Z,"Professional team for the new military heritage museum at Larkhill, Wiltshire",258000.0
HOMES & COMMUNITIES AGENCY,2015-10-15T14:58:15Z,"Broxhead House Business Enterprise Centre Capital Works, Bordon",3039668.0
THE LITMUS PARTNERSHIP LTD,2017-08-13T22:25:26Z,The Wellington College Academy Trust ~ Tender for Catering Services.,211000.0
MINISTRY OF DEFENCE,2018-06-11T15:46:44Z,"The Provision of Forage to Military Working Horses - Straw, Roughage and Produce",2465350.0
BABCOCK INTERNATIONAL GROUP PLC,2017-06-29T11:23:55Z,The Supply of Military Spare Parts and Associated Items,2327112.0
"Ministry of Defence, Air Support, Air Commodities Project Team (AC PT)",2016-03-03T11:36:01Z,"ACCOMM2/7040 - SPARES INCLUSIVE REPAIR Contract PLUS POST DESIGN SERVICES for the Support OF FIRE SUPPRESSION, NUCLEAR BIOLOGICAL CHEMICAL AND INFLATION AIRCRAFT EQUIPMENT",2284000.0
Army Commercial,2017-06-29T14:26:32Z,Provision of Military Airworthiness Reviews for Joint Helicopter Command,2266692.38
"LEIDOS SUPPLY, LIMITED",2019-09-27T14:21:32Z,Operational Ration Heater Systems (ORHS),2030888.0
"Ministry of Defence, ISTAR, Chemical, Biological, Radiological and Nuclear Delivery Team (CBRN DT)",2018-08-05T07:59:31Z,CBRN/00243 - PATSY BNS,
"Ministry of Defence, ISTAR, Chemical, Biological, Radiological and Nuclear Delivery Team (CBRN DT)",2018-08-13T10:57:40Z,CBRN/00243 - PATSY BNS,
"Ministry of Defence, ISTAR, Chemical, Biological, Radiological and Nuclear Delivery Team (CBRN DT)",2018-08-13T16:16:43Z,CBRN/00243 - PATSY BNS,
"Ministry of Defence, DE&S Mat Strat, Air Defence & Electronic Warfare Systems",2019-06-17T12:20:03Z,"4th Line Support and Maintenance of Former German Air Force Equipment (GAFE), I-Band Threat Simulator & Microwave Link System",
"Ministry of Defence, ISTAR, Chemical, Biological, Radiological and Nuclear Delivery Team (CBRN DT)",2016-01-25T14:21:02Z,CBRN/00215 APED In-Service Support,
Medway Council,2016-12-19T13:50:38Z,Chatham Placemaking Project - Works Contract,
"Ministry of Defence, Combat Air, UK Military Flying Training System (UKMFTS) Project Team",2018-08-27T12:21:15Z,"The Provision of Post Design Services, Supply of Modification Sets and Preparation and Supply of Amendments to Aircraft Technical Publications for the Tucano T Mk 1 Aircraft",2000000.0
"Ministry of Defence, Land Equipment, Armoured Vehicles Programmes - Artillery Systems Programme",2017-04-11T13:34:37Z,NATO Armaments Ballistic Kernel (NABK) S4 Application and Code Development & Support to UK Equipments,
Crown Commercial Service,2017-05-31T15:34:29Z,Provision of Consultancy for Personnel Support Transformation Programme (PSTP),1951000.0
"Ministry of Defence, Ships, Maritime Platform Systems (MPS)",2020-03-22T13:20:08Z,"Main Controls and Systems Spares, Repairs and Support- Hunt Class",1931172.0
MINISTRY OF DEFENCE,2015-06-19T10:42:48Z,Military Capability Output Costing (MCOC) Transition to Business as Usual,2153225.0
MINISTRY OF DEFENCE,2017-05-17T07:31:14Z,TRANSPARENCY ONLY - PROVISION OF POST WARRANTY SUPPORT FOR THE MAN SUPPORT VEHICLE IN BRITISH FORCES GERMANY,1768253.0
Police and Crime Commissioner for Dyfed Powys,2019-04-15T12:07:55Z,Provision of Catering Services,
"Ministry of Defence, Air Support, Air Commodities Project Team (AC PT)",2016-07-07T07:42:02Z,Provision of Support for the Wear Debris Management System,1750000.0
BABCOCK INTERNATIONAL GROUP PLC,2017-07-19T11:30:52Z,Supply of Military related spare parts and associated items,1696563.3
BABCOCK INTERNATIONAL GROUP PLC,2017-07-20T16:09:19Z,The Supply of Military Related Spare Parts & Associated Items - Major Platform Related items,1675000.0
"Ministry of Defence, C&C, C&C",2017-09-14T11:45:14Z,Procedure Design and Safeguarding,
"Ministry of Defence, DSG, Defence Support Group (DSG)",2019-09-14T11:00:08Z,IRM18/5956 Supply of General Military Consumables - Tool and Accessories Spares,1600000.0
"LEIDOS SUPPLY, LIMITED",2017-05-11T08:38:01Z,Supply of Custom Orthotics,
"Ministry of Defence, Ships, Commercially Supported Shipping (CSS) Team",2016-10-01T14:09:04Z,"Supply of Two-Man Collapsible Craft, Paddles, Spares and Associated Ancillaries",
"Ministry of Defence, Ships, Commercially Supported Shipping (CSS) Team",2017-09-03T07:39:07Z,"Supply of Two-Man Collapsible Craft, Paddles, Spares and Associated Ancillaries",836821.98
"Ministry of Defence, Air Support, Air Platform Systems Project Team (APS PT)",2017-05-28T12:57:05Z,DSTL Project Support - Technical and Security Advice for APS (DSTL Support to GPS PO),1480000.0
MINISTRY OF DEFENCE,2018-06-11T15:27:00Z,The Provision of Forage to MOD Military Working Horses - Processed Bedding,1305000.0
