"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification"
BIP59963835,Contract,"Ministry of Defence, Weapons, Defence General Munitions (DGM) Project Team",Open,2018-02-12T10:27:15Z,"Project ABEL","Weapons, ammunition and associated parts.",,,"South West","35300000 ",,ajoy.sarkar934@mod.gov.uk,"Fir 1a, #4115","MOD ABBEY WOOD",Bristol,"BS34 8JH",UK,+443067936460,,,,"To view this notice, register as a supplier here:
        
        http://www.contracts.mod.uk/delta/signup.html?userType=supplier
        
        and search for the notice with reference 'UK-Bristol: Weapons, ammunition and associated parts.'.",01/01/2023,31/12/2038,01/01/2023,NO,,No,No,No,Products,3000000000,0,,,,,,," ",
tender_227707/823205,Contract,"HealthTrust Europe LLP (HTE) acting as agent for the University Hospitals of Coventry and Warwickshire NHS Trust (""UHCW"")",Closed,2019-12-17T16:12:42Z,"Total Workforce Solutions II","HealthTrust Europe is seeking to establish a framework agreement for the provision of workforce solutions in the healthcare sector for the NHS, registered charities, wider public sector and all other bodies as detailed within the OJEU Contract Notice including Fully Managed Services: Bank and Agency, Bank and Agency Demand Solutions (including Direct Engagement), Medical Locums and General Practitioner Workers, Nursing and Care Service Workers, Allied Health Professional and Health Science Service Workers, and Non-Medical Non-Clinical (NMNC) Workers, to include Senior, Very Senior Managers (VSM) & Executive Recruitment.",,,"Any region","79600000 ","Richard Legate",Richard.Legate@htepg.com,"19 George Road",,"Edgbaston, Birmingham","B15 1NU",England,1,www.healthtrusteurope.com,,"https://healthtrusteurope.bravosolution.co.uk ",,03/08/2020,03/08/2022,29/01/2020,NO,,Yes,Yes,No,Services,3000000000,0,,,,,,,"RestrictedOJEU ",
BIP62996932,Contract,"Ministry of Defence, Weapons, Defence General Munitions (DGM) Project Team",Closed,2018-06-04T11:02:42Z,"Project ABEL","Weapons, ammunition and associated parts.",,,"South West","35300000 ",,ajoy.sarkar934@mod.gov.uk,"MOD ABBEY WOOD","Project ABEL, Fir 1a, #4115",Bristol,"BS34 8JH",England,+44117936460,,,,"To view this notice, register as a supplier here:
        
        http://www.contracts.mod.uk/delta/signup.html?userType=supplier
        
        and search for the notice with reference 'UK-Bristol: Weapons, ammunition and associated parts.'.",01/01/2023,01/01/2033,28/06/2018,NO,,No,No,No,Products,3000000000,0,,,,,,,"OpenOJEU ",
RM3741/2,Contract,"CROWN COMMERCIAL SERVICE",Awarded,2017-06-01T15:12:01Z,"Project Management and Full Design Team Services","Crown Commercial Service as the Authority awarded a Pan Government Framework Agreement for use by UK public sector bodies.

The Framework Agreement will provide Public Sector Bodies with Project Management and Full Design Team Services as part of a multi-disciplinary team, or to call off individual disciplines, as required. 

The duration of this Framework Agreement is for a two (2) year period with two (2) options to extend, each for a period of one (1) year in duration, up to a maximum four (4) year term in total.

The Framework Agreement will be divided into six (6) Lots:

- Lot 1 - Multi-Disciplinary Services;

- Lot 2 - Project Management Services; 

- Lot 3 - Architectural Services;

- Lot 4 - Cost Management Services;

- Lot 5 - Civil & Structural Engineering Services; and

- Lot 6 - Building Services Engineering.",,,"Any region","71000000 79418000 79933000 90712000 90733000 ",,supplier@crowncommecial.gov.uk,"9th Floor, The Capital","Old Hall Street",Liverpool,"L3 9PP",England,"0345 010 3503",www.gov.uk/ccs,"RM3741 - PMFDTS Lot Descriptions.pdf RM3741 Successful Suppliers (Final).pdf ","http://ted.europa.eu/udl?uri=TED:NOTICE:207958-2017:TEXT:EN:HTML ",,19/05/2017,18/05/2019,24/10/2016,YES,RM3741,Yes,No,No,Services,2875000000,0,18/05/2017,2875000000,"[Please see below.|Please see attached list for details of successful Suppliers who have been awarded a Framework Agreement, subject to signature.|||No|No]",,19/05/2017,20/05/2019,"Open ",
"RM3821 Award",Contract,"Crown Commercial Service",Awarded,2019-02-26T08:43:03Z,"Data and Application Solutions","Crown Commercial Service wishes to establish appropriate contracting routes to meet common hardware,
software and services requirements for use by UK public sector bodies which include Central Government
Departments and their Arm's Length Bodies and Agencies, Non Departmental Public Bodies, NHS bodies and
Local Authorities.
The above Contracting Authority(s) have a need for software services and ancillary hardware to deliver a
solution for Enterprise Data and Application Solutions, Local Government Specific Solutions, Health & Social
Care Solutions, Police and Emergency Service Specific Solutions, and Education Specific Solutions.
The Goods and Services to be covered by this Procurement will be divided into lots. There are fourteen (14)
lots in total, for the detailed structure please refer to Framework Schedule 1 Specification.
The Data and Application Solutions (DAS) framework agreement targets the Enterprise Applications and the
Information Management segment of UK Public Sector",,,"Any region","48170000 48217000 48440000 48470000 48490000 48517000 48812000 48900000 71356300 72000000 ","The Minister for the Cabinet Office acting through Crown Commerc",supplier@crowncommercial.gov.uk,"Rosebury Court, St Andrews Business Park",,Norwich,"NR7 0HS",England,"+44 3450103503",,"Contract Notice.pdf Contract Notice Authorised Customer List.docx 2. Final - PUBLISHED-20180704T140855Z-001.zip 1) Contract Notice Transparency Information for CCS Framework.docx RM3821 Supplier List.xlsx RM3821 CPV Lot Codes.xlsx ",,,22/02/2019,22/02/2021,12/11/2018,YES,RM3821,Yes,No,No,Services,2850000000,0,25/01/2019,0,"[See supplier list attachment|See supplier list|NONE||No|No]",,22/02/2019,22/02/2021,"RestrictedOJEU ",
"London 2017-2019 Contract Awards for Prescribed Specialised Services",Contract,"N E L Commissioning Support Unit",Closed,2016-10-14T15:10:46Z,"London 2017-2019 Contract Awards for Prescribed Specialised Services","In 2016/17 NHS England set out our approach to ensure that prescribed specialised services are commissioned from the most capable providers through a rolling Strategic Service Review Programme with priorities published in commissioning intentions. From service reviews and from locally led change through sustainability and transformation plans, we expect there to be more networks of specialist providers and re-shaping supply models and contracting approaches to integrate care around patients. Service reviews will also provide opportunity for providers to propose sustainable solutions in line with clinically developed requirements. Service review implementation will also enable new payment approaches in order to incentivise improvement in care quality and patient experience. Where the relationship between quality, value and patient volumes is strong we expect there to be consolidation of some services as a consequence of undertaking reviews.

In the London region there are 39 Lots. Detail on the Lots is contained in the Prior Information Notice (PIN) published via OJEU and is also available on the portal. 

NHS England 13 R London Commissioning Hub is signalling our intent to:

• award whole contracts for 2017-2019 using the NHS Standard Contract to the incumbent providers without further publication, unless; expressions of interest are received from alternative economic operators 
• explore the opportunities for longer than 2 year contracts where this affords opportunities for significant improvements in service quality and efficiency facilitated by using the NHS Standard Contract option to extend term for up to two years.

Economic operators should express interest in writing at the link below https://procontract.due-north.com/Advert?advertId=f83486e2-6391-e611-8114-000c29c9ba21. 

During this contract period, where services may be subject to further procurement as a result of the rolling Strategic Service Review Programme, procurements will be published appropriately. If your organisation would like to become involved with the procurement you should now register at the above link to access all further details.

The contract value shown in this notice is an annual figure for all Lots combined.

Questions should be directed via the messaging facility on the portal.",,,London,"85000000 ",,nelcsu.londoncommissioninghub@nhs.net,"Skipton House","80 London Road",London,"SE1 6LH",England,,www.england.nhs.uk,"ProContract Help Page Details 141016.docx ","https://procontract.due-north.com/Advert?advertId=f83486e2-6391-e611-8114-000c29c9ba21 ",,01/04/2017,31/03/2019,04/11/2016,NO,,Yes,Yes,No,Services,2792976480,0,,,,,,,"NotSpecified ",
pqq_89,Contract,"HIGH SPEED TWO (HS2) LIMITED",Closed,2017-04-21T09:42:59Z,"HS2 Rolling Stock and Maintenance Services","Rolling Stock Contract Notice - Utilities 2017/S 078-151144

 High Speed Two (HS2) Limited is responsible for developing and promoting the new high speed railway known as High Speed 2 ('HS2'). HS2 will initially run between London and Birmingham (Phase One) but will subsequently be extended northwards to link Birmingham to Crewe (Phase 2a) and Manchester and Leeds (Phase 2b). All phases will see through trains to other destinations on the UK's conventional network. This Contract Notice formally commences the procurement of the Rolling Stock and associated Services for HS2. HS2 Ltd shall select Applicants to be invited to tender in accordance with the selection criteria detailed in II.2.5 below and in the Pre-Qualification Pack ('PQP'). The Contracts will be awarded in line with the award criteria to be set out in the ITT.

 Interested parties should note that the estimated contract value of 2 750 000 000 GBP (2015 prices) is based on the supply of a minimum of 54 trains plus 12 years' maintenance and the associated expenses for a new fleet of trains.

 Link to published Contract Notice attached.",,,"Any region","34620000 ","Bernard vanHaeften",bernard.vanhaeften@hs2.org.uk,bernard.vanhaeften@hs2.org.uk,,Birmingham,"B4 6GA",England,,,,"https://hs2.bravosolution.co.uk/esop/guest/go/opportunity/detail?opportunityId=29229 http://ted.europa.eu/udl?uri=TED:NOTICE:151144-2017:TEXT:EN:HTML&tabId=1 ",,02/12/2019,01/12/2026,29/06/2017,NO,,No,No,No,Products,2750000000,0,,,,,,,"Negotiated ",
BIP53603710,Contract,"Ministry of Defence, IMOC, Other",Awarded,2017-07-09T11:27:16Z,"LCS(T)/0001 - Additional Commodities VEAT","The UK MOD intends to amend the LCST contract, that it awarded to Leidos Europe Ltd in April 2015, to increase the scale of the procurement services role as indicated in the Contract Notice (CN) (2013/S 025-038755) published on 5/2/13. 
    Section II.2.2 of the CN stated that the UK MOD might increase the scale of Leidos' procurement services (PS) role, covering circa (c.) 55K additional Nato Stock Numbers (NSNs) of raw materials & consumables.",,,"South West","79418000 ",,josiah.mayled100@mod.gov.uk,"MOD Abbey Wood (South)",,Bristol,"BS34 8JH",UK,,,,,"To view this notice, register as a supplier here:
      
      http://www.contracts.mod.uk/delta/signup.html?userType=supplier
      
      and search for the notice with reference 'UK-Bristol: Procurement consultancy services.'.",31/07/2017,16/04/2028,24/04/2017,NO,,No,No,No,Services,2750000000,0,24/04/2017,2750000000,"[Leidos Europe Ltd|8 Monarch Court
        Bristol|||No|No]",,31/07/2017,16/04/2028,"Other ",
tender_192245/726459,Contract,"Office of Gas and Electricity Markets",Closed,2018-11-30T13:15:12Z,"Tender Round 6 (TR6) for the grant of three offshore transmission licences","This concerns the proposed grant of three offshore transmission licences to successful bidders to connect three offshore wind farms to the GB onshore grid. 
TR6 consists of Beatrice Offshore Wind Farm, Hornsea Project One Offshore Windfarm and East Anglia ONE (the Projects).
The tender process will consist of two stages for each Project: an Enhanced Pre-Qualification (EPQ) stage and an Invitation to Tender (ITT) stage, resulting in selection of preferred bidders. Bidders who qualify at the EPQ stage will 'passport' into the ITT stage for all Projects which it has indicated it will participate. Where the maximum number of qualified bidders has not been reached for a Project, an additional EPQ stage may be run.
Any bidder wishing to participate in the EPQ stage for any Project or in an additional EPQ stage, if held, must express their interest as per the requirements in the EPQ documentation.",,,"Yorkshire and The Humber,East of England,Scotland","65300000 ",,tendercoordinator@ofgem.gov.uk,"10 South Colonnade",,London,"E14 4PU",England,,https://www.ofgem.gov.uk/,,"https://www.ofgem.gov.uk/ https://www.ofgem.gov.uk/electricity/transmission-networks/offshore-transmission https://www.ofgem.gov.uk/electricity/transmission-networks/offshore-transmission/offshore-transmission-tenders/tender-round-6 https://ofgem.bravosolution.co.uk https://www.ofgem.gov.uk/electricity/transmission-networks/offshore-transmission/offshore-transmission-tenders/tender-round-6 ","
TR6 consists of 3 projects, Beatrice Offshore Wind Farm, Hornsea Project One Offshore Wind Farm and East Anglia ONE (the Projects).

The tender process will consist of two stages for each of the Projects: an Enhanced Pre-Qualification (EPQ) stage followed by an Invitation to Tender (ITT) stage which will result in the selection of a preferred bidder. Any bidder that qualifies at the EPQ stage will ""passport"" into the ITT stage for all of the Projects for which it has indicated it will participate. Where the maximum number of qualified bidders has not been reached for a Project, Ofgem may run an additional EPQ stage.

Any bidder wishing to participate in the EPQ stage for any or all of the Projects or in an additional EPQ stage, if held, must express interest in doing so in accordance with the requirements in the EPQ documentation.

Ofgem intends to stagger the ITT stages based on each Project's date of first power and as a result of the staggering of ITT stages, if an additional EPQ stage is held, any bidders qualifying as a result of that additional EPQ will only be eligible to submit an ITT submission for Projects yet to commence the ITT stage at the time of qualification.


The type of procedure to be adopted is a competitive procedure with negotiation. The subject matter of this notice is the proposed grant of three offshore transmission licences to successful bidders for the purpose of connecting three wind farms to the GB onshore grid. 
TR6 consists of three projects. A transmission licence is expected to be granted for each project. High level details about the projects are as follows: Project: Beatrice; Developer: SSE Renewables, Copenhagen Infrastructure Partners, SDIC Power; Limited Capacity(MW): 588. Project: Hornsea Project One Offshore Wind farm; Developer: Ørsted; Limited Capacity (MW): 1,200.Project: East Anglia ONE; Developer: ScottishPower Renewables; Limited Capacity (MW): 714

Requests to participate/EPQ submissions must be made electronically by 12:00 (local time), 07/02/2019 See the above links for how to do this.

Please note that the information contained in the fields 'contract start date', 'Contract end date' and 'Lowest/actual value (£)' in section 1 of this notice are indicative only. Please consult the tender documentation for further details.",01/10/2020,01/10/2045,07/02/2019,NO,,No,No,No,Services,2708054532,0,,,,,,,"CompetitiveProcedureWithNegotiationOJEU ",
tender_194164/732209,Contract,"NHS England",Closed,2018-12-13T12:21:27Z,"NHS Framework Agreement for Branded Medicines - National","NHS Framework Agreement for Branded Medicines - National 

Contract Period: 1 May 2019 to 30 April 2021 (with an option to extend for a period or periods of up 24 months)

Tender Reference: CM/PHR/16/5518",,,"North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East of England,London,South East,South West","33600000 ","Katie Noonan",Katie.noonan@nhs.net,"2ND FLOOR, RUTLAND HOUSE",,RUNCORN,"WA7 2ES",England,,,"181213 - CMPHR165518 Branded - National Branded Proprietary Products - Qualification Questionnaire.xlsx 181213 - Published OJEU- CMPHR165518 Branded - National Branded Proprietary Products.pdf Document No. 01 - Invitation to offer covering letter.docx Document No. 02 - Terms of offer.doc Document No. 03 - Framework Agreement and Terms and Conditions.doc Document No. 04 - Contract technical specification.doc Document No. 05a - Tender Product Listing and Usage.xls Document No. 05b - Selectt offer schedule instructions.DOC Document No. 05c - Selectt Offer Schedule CM_PHR_16_5518_01.xml Document No. 06 - Form of offer.doc Document No. 07a - Quality control technical sheet.doc Document No. 07b - Guidance for performing a risk assessment of licensed medicines for the NHS.doc Document No. 08 - Confidential information schedule.XLS Document No. 09 - Tender Design and Instructions.doc ","https://nhsengland.bravosolution.co.uk ",,01/05/2019,30/04/2021,17/01/2019,NO,,Yes,No,No,Products,2702683780,0,,,,,,,"OpenOJEU ",
"
            MT170109",Contract,"NHS England, Yorkshire and the Humber ",Awarded,2016-02-08T09:29:35Z,"Sheffield City GP Medical Centre, The Clover Group and Westwood Medical Centre","North of England Commissioning Support are working for and on behalf of NHS England, Yorkshire and The Humber who propose to procure an Alternative Provider Medical Services Contract in the following lots:
Lot 1 (1 Site): Sheffield City GP Medical Centre - Rockingham House, 75 Broad Lane, Sheffield, S1 3PB
The actual patient list size as at July 2015 for this medical centre is 4,868 (3,966.06 weighted patient list).
Please Note: Sheffield City GP Medical Centre is not a pre-determined site; therefore potential bidders will be required to advise in their bid how they intend to deliver services from a central location within Sheffield City Centre OR from the current premises.
Lot 2 (4 Sites) ""The Clover Group"":
Main Site: Darnall Primary Care Centre, 290 Main Road, Sheffield, S9 4QH
Branch Site: Highgate Surgery, Highgate, Tinsley, Sheffield, S9 1WN
Branch Site: Jordanthorpe Health Centre, 1 Dyche Close, Sheffield, S8 8DJ
Branch Site:  Mulberry Practice, 1 Mulberry Street, Sheffield, S1 2PJ
The actual patient list size as at July 2015 for these 4 sites is 16,655 (16,857.91 weighted patient list).
Please Note:
The Darnall Primary Care Centre is a pre-determined site therefore the successful bidder will be required to deliver services from the advised site address.
The Highgate Surgery is not a pre-determined site and therefore potential bidders are required to advise in their bid how they intend to deliver services from locations within close proximity to...r a temporary exemption for NHS healthcare procurements before 18th April 2016.
NECS is utilising an electronic tendering system to manage this procurement and communicate with potential providers.
Express Interest:
To express an interest in tendering for this service, and (if you have not already done so) please register on the electronic tendering portal, which can be found at https://in-tendhost.co.uk/necs.
Once registered, you will be able to view details of the tender opportunity by selecting the ""Tenders"" tab, and then selecting ""Current"", scroll down through the tender lists until you come to ""APMS - Sheffield City GP Medical Centre, The Clover Group and Westwood Medical Centre"".  To view further information on this specific tender opportunity, click the button marked ""View Details"". From this area, you will be able to express your interest in this tender opportunity by selecting the button marked ""Express Interest"".
Please note that it is free to register on the portal, which can be accessed at any time of day as long as you have a working internet connection.
If you require further assistance, a help guide can be found on the portal by clicking on the tab marked ""Guidance for Suppliers"". Alternatively, (should potential providers have any queries) a dedicated helpdesk is available and can be contacted on 0844 2728810 Monday to Friday 8am to 5pm or email: support@in-tend.co.uk.
The closing date for submission of tenders is 12 noon on 9 December 2015.",,,"Yorkshire and The Humber","85100000 ","Michael Robertson ",necsu.neprocurement@nhs.net,"Oak House, Moorhead Way, Bramley","Rotherham ","South Yorkshire","S66 1YY","
              England
            ","+44 1642745411",,,"http://www.mytenders.org/search/show/search_view.aspx?ID=FEB120311 ",,01/04/2016,31/03/2031,09/12/2015,NO,,Yes,No,No,Services,2662531303,0,03/02/2016,484016013,"[Sheffield Health and Social Care NHS Foundation Trust|Fulwood House, 5 Old, Fulwood Rd,,, Sheffield,|||No|No][Sheffield Health and Social Care NHS Foundation Trust|Fulwood House, 5 Old, Fulwood Rd,,, Sheffield,|||No|No][Larwood & Village Surgeries |56 Larwood Avenue, ,Worksop,, Nottinghamshire |||No|No]",,01/04/2016,31/03/2031,"Open ",
HARROW001-DN412551-51791423,Contract,"Harrow Council",Closed,2019-06-25T09:31:24Z,"Harrow Strategic Development Partnership","Harrow Council (the ""Council"") is seeking to procure a private sector partner as its strategic development partner (the ""Partner"") to develop three core sites and potentially future sites in Harrow in connection with the Council's regeneration programme and to also provide construction works and services in relation to land that is currently or may subsequently become owned by the Council (the ""Project""). The Council intends to undertake the Project via a separate corporate vehicle, (the Harrow Strategic Development Partnership (the ""HSDP"")). It is envisaged the Council and the Partner will have an equal interest in the HSDP. The Council intends to contribute the three core sites to the HSDP and anticipates the Partner will provide funding and services to the HSDP.",,,London,"70000000 ","Lisa Taylor",lisa.taylor@harrow.gov.uk,"Civic Centre",,Harrow,"HA1 2XY",England,"+44 2084209219",http://www.harrow.gov.uk,,"https://procontract.due-north.com/Advert?advertId=486d3bf5-3793-e911-80f8-005056b64545 ",,01/04/2020,31/03/2045,26/07/2019,NO,,Yes,No,No,Services,2500000000,2500000000,,,,,,,"CompetitiveDialog ",
"RM1070 Whale Tankers Limited",Contract,"CROWN COMMERCIAL SERVICE",Awarded,2015-04-30T10:03:12Z,"Vehicle Purchase RM1070","Crown Commercial Service as the Contracting Authority awarded a Framework Agreement for use by UK
Public Sector Bodies identified at VI.3 (and any future successors to these organisations), which includes
Central Government Departments and their Arm's Length Bodies and Agencies, Non Departmental Public
Bodies, NHS Bodies and Local Authorities.
The above Public Sector Bodies have a need for Vehicle Purchase.
Crown Commercial Service reserved the right for an electronic auction to be held by Public Sector Bodies
during further competition among the parties to the Framework Agreement(s).",,,"Any region","34100000 34400000 ",,supplier@ccs.gsi.gov.uk,"9th Floor, The Capital, Old Hall Streeet",,Liverpool,"L3 9PP",England,"0345 010 3503",www.gov.uk/ccs,"Whale Tankers Limited - Vehicle Purchase Framework - [REDACTED].pdf ",,,02/12/2014,01/12/2018,04/09/2014,YES,"RM1070 Alexander Dennis Ltd",Yes,Yes,No,Products,2500000000,0,02/12/2014,0,"[Whale Tankers Limited|Ravenshaw 
Solihull
B91 2SU|||No|No]",,02/12/2014,01/12/2018,"Open ",
"RM1070 Subaru (UK) Ltd",Contract,"CROWN COMMERCIAL SERVICE",Awarded,2015-04-30T10:06:43Z,"Vehicle Purchase RM1070","Crown Commercial Service as the Contracting Authority awarded a Framework Agreement for use by UK
Public Sector Bodies identified at VI.3 (and any future successors to these organisations), which includes
Central Government Departments and their Arm's Length Bodies and Agencies, Non Departmental Public
Bodies, NHS Bodies and Local Authorities.
The above Public Sector Bodies have a need for Vehicle Purchase.
Crown Commercial Service reserved the right for an electronic auction to be held by Public Sector Bodies
during further competition among the parties to the Framework Agreement(s).",,,"Any region","34100000 34400000 ",,supplier@ccs.gsi.gov.uk,"9th Floor, The Capital, Old Hall Streeet",,Liverpool,"L3 9PP",England,"0345 010 3503",www.gov.uk/ccs,"Subaru (UK) Ltd - Vehicle Purchase Framework - [REDACTED].pdf ",,,02/12/2014,01/12/2018,04/09/2014,YES,"RM1070 Alexander Dennis Ltd",Yes,Yes,No,Products,2500000000,0,02/12/2014,0,"[Subaru (UK) Ltd|I.M. House South Drive
Coleshill
B46 1DF|||No|No]",,02/12/2014,01/12/2018,"Open ",
"RM1070 MG Motor UK Ltd",Contract,"CROWN COMMERCIAL SERVICE",Awarded,2015-04-30T10:09:52Z,"Vehicle Purchase RM1070","Crown Commercial Service as the Contracting Authority awarded a Framework Agreement for use by UK
Public Sector Bodies identified at VI.3 (and any future successors to these organisations), which includes
Central Government Departments and their Arm's Length Bodies and Agencies, Non Departmental Public
Bodies, NHS Bodies and Local Authorities.
The above Public Sector Bodies have a need for Vehicle Purchase.
Crown Commercial Service reserved the right for an electronic auction to be held by Public Sector Bodies
during further competition among the parties to the Framework Agreement(s).",,,"Any region","34100000 34400000 ",,supplier@ccs.gsi.gov.uk,"9th Floor, The Capital, Old Hall Streeet",,Liverpool,"L3 9PP",England,"0345 010 3503",www.gov.uk/ccs,"MG Motor UK Ltd - Vehicle Purchase Framework - NEW REDACTED.pdf ",,,02/12/2014,01/12/2018,04/09/2014,YES,"RM1070 Alexander Dennis Ltd",Yes,Yes,No,Products,2500000000,0,02/12/2014,0,"[MG Motor UK Ltd|Lowhill Lane 
Longbridge
Birmingham
B31 2BQ|||No|No]",,02/12/2014,01/12/2018,"Open ",
"RM1070 Iveco Ltd",Contract,"CROWN COMMERCIAL SERVICE",Awarded,2015-04-30T10:12:53Z,"Vehicle Purchase RM1070","Crown Commercial Service as the Contracting Authority awarded a Framework Agreement for use by UK
Public Sector Bodies identified at VI.3 (and any future successors to these organisations), which includes
Central Government Departments and their Arm's Length Bodies and Agencies, Non Departmental Public
Bodies, NHS Bodies and Local Authorities.
The above Public Sector Bodies have a need for Vehicle Purchase.
Crown Commercial Service reserved the right for an electronic auction to be held by Public Sector Bodies
during further competition among the parties to the Framework Agreement(s).",,,"Any region","34100000 34400000 ",,supplier@ccs.gsi.gov.uk,"9th Floor, The Capital, Old Hall Streeet",,Liverpool,"L3 9PP",England,"0345 010 3503",www.gov.uk/ccs,"IVECO Ltd - Vehicle Purchase Framework - [REDACTED].pdf ",,,02/12/2014,01/12/2018,04/09/2014,YES,"RM1070 Alexander Dennis Ltd",Yes,Yes,No,Products,2500000000,0,02/12/2014,0,"[Iveco Ltd|Iveco House 
Station Road
Watford
WD17 1SR|||No|No]",,02/12/2014,01/12/2018,"Open ",
"RM1070 EvoBus (UK) Ltd",Contract,"CROWN COMMERCIAL SERVICE",Awarded,2015-04-30T10:15:52Z,"Vehicle Purchase RM1070","Crown Commercial Service as the Contracting Authority awarded a Framework Agreement for use by UK
Public Sector Bodies identified at VI.3 (and any future successors to these organisations), which includes
Central Government Departments and their Arm's Length Bodies and Agencies, Non Departmental Public
Bodies, NHS Bodies and Local Authorities.
The above Public Sector Bodies have a need for Vehicle Purchase.
Crown Commercial Service reserved the right for an electronic auction to be held by Public Sector Bodies
during further competition among the parties to the Framework Agreement(s).",,,"Any region","34100000 34400000 ",,supplier@ccs.gsi.gov.uk,"9th Floor, The Capital, Old Hall Streeet",,Liverpool,"L3 9PP",England,"0345 010 3503",www.gov.uk/ccs,"EvoBus (UK) Ltd - Vehicle Purchase Framework - [REDACTED].pdf ",,,02/12/2014,01/12/2018,04/09/2014,YES,"RM1070 Alexander Dennis Ltd",Yes,Yes,No,Products,2500000000,0,02/12/2014,0,"[EvoBus (UK) Ltd|Ashcroft Way 
Cross Point Business Park
Coventry
CV2 2TU|||No|No]",,02/12/2014,01/12/2018,"Open ",
EDP/001,Contract,"DEFENCE EQUIPMENT & SUPPORT",Awarded,2018-11-01T15:46:54Z,"Engineering Delivery Partner Arrangement","The Engineering Delivery Partner Arrangement was awarded 5th October 2018. 
Short description of the contract or purchase: 
  The Engineering Delivery Partner requirement is for a service to provide:  
i) Engineering Support Services. Comprising 
• Delivery of activities leading to defined products.  
• Resources (team or individual) for a specific role.  
(ii) Provision of innovative approaches to enhance the products and services associated with the Engineering function. 
(iii) Provision of continuous key personnel to ensure EDP operates and is manged effectively.",,,"South West","71318000 ","Michael Donnelly",Michael.Donnelly716@mod.gov.uk,"Abbey Wood",,BRISTOL,BS348JH,England,03067989833,,"EDPAgreement Redacted.pdf 20181029 EDP Schedule A_Requirement_Redacted_FINAL.pdf 20181005 EDP Schedule B Governance Final.pdf 20181005 EDP Schedule C_Contract Management FINAL.pdf 20181005 EDP Schedule F Redacted.pdf 20181005 EDP Schedule G COI Compliance Regime Final.pdf 20181005 EDP Schedule E_Dispute_Resolution_Procedure_Final.pdf 20181005 EDP Schedule H_Contractors_Commercially_Sensitive_Information_Redacted.pdf 20181005 EDP Schedule I Engaged Personnel.pdf 20181005 EDP Schedule K Redacted.pdf 20181005 EDP Schedule L Redacted.pdf 20181005 EDP Schedule M Business Continuity Plan Final.pdf 20181005 EDP Schedule N TUPE.pdf 20181005 EDP Schedule O_Accommodation_and_IT_Final.pdf 20181005 EDP Schedule P_Exit_Strategy_and_Plan-Final.pdf 20181005 EDP Schedule Q Innovation FINAL.pdf 20181005 EDP Schedule D_Tasking_Process Redacted.pdf ",,,05/10/2018,04/10/2028,04/10/2018,NO,,No,No,No,Services,2500000000,0,05/10/2018,2500000000,"[QINETIQ LIMITED|Cody Technology Park Old Ively Road
FARNBOROUGH
Hampshire
GU14 0LX
GB|COMPANIES_HOUSE|03796233|No|No]","Philip Weeden",06/10/2018,04/10/2028,"CompetitiveProcedureWithNegotiationOJEU ",
"RM1070 Volvo Car UK Limited",Contract,"CROWN COMMERCIAL SERVICE",Awarded,2015-04-30T10:03:34Z,"Vehicle Purchase RM1070","Crown Commercial Service as the Contracting Authority awarded a Framework Agreement for use by UK
Public Sector Bodies identified at VI.3 (and any future successors to these organisations), which includes
Central Government Departments and their Arm's Length Bodies and Agencies, Non Departmental Public
Bodies, NHS Bodies and Local Authorities.
The above Public Sector Bodies have a need for Vehicle Purchase.
Crown Commercial Service reserved the right for an electronic auction to be held by Public Sector Bodies
during further competition among the parties to the Framework Agreement(s).",,,"Any region","34100000 34400000 ",,supplier@ccs.gsi.gov.uk,"9th Floor, The Capital, Old Hall Streeet",,Liverpool,"L3 9PP",England,"0345 010 3503",www.gov.uk/ccs,"Volvo Car UK Limited - Vehicle Purchase Framework - [REDACTED].pdf ",,,02/12/2014,01/12/2018,04/09/2014,YES,"RM1070 Alexander Dennis Ltd",Yes,Yes,No,Products,2500000000,0,02/12/2014,0,"[Volvo Car UK Limited|Scandinavia House 
Norreys Drive
Maidenhead
SL6 4FL|||No|No]",,02/12/2014,01/12/2018,"Open ",
