"Notice Identifier","Notice Type","orgName",Status,"publishedDate",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification"
700008305,Contract,"MINISTRY OF DEFENCE",Awarded,2019-12-18T14:53:03Z,"Military Use of National Shooting Centre (NSC) Ranges, Bisley","This is not an opportunity, it is a Contract Award Notice in accordance with the govt's transparency agenda",,,"South East","70321000 ",,ArmyComrcl-NI-Mailbox@mod.gov.uk,"Rm G6, Bldg 114","Thiepval Barracks",Lisburn,"SP11 8HT","Northern Ireland",,,"20191129-700008305_SC2_Redacted.docx 20191129-700008305_SC2_Sch_1_8_Redacted.docx 20191129-700008305_SC2_Sch_2_Anx_A_SOR.doc 20191129-700008305_SC2_Sch_2_Anx_B_Pricing_Redacted.xlsx 20191129-700008305_SC2_Sch_9_Insurance.docx 20191129-700008305_SC2_Sch_10_Deliverables.docx ",,,01/01/2020,31/12/2024,13/11/2019,NO,,Yes,No,No,Services,436000,0,29/11/2019,436000,"[NATIONAL RIFLE ASSOCIATION|Bisley Camp, Brookwood
GU24 0PB
GB|COMPANIES_HOUSE|RC000372|No|No]",,01/01/2020,31/12/2024,"SingleTenderActionNonOJEU ",
"2015/S 27-44860",Contract,"Ministry of Defence, DSG",Closed,2015-02-10T23:44:01Z,"United Kingdom-Telford: Military vehicles and associated parts","'Military vehicles and associated parts. The Authority is considering establishing an Enabling Contract (EC) for spares in support of MOWAG Duro and Light Weight Trailer used by the British Army. The duration of the EC shall be firm for 2 years with the option to extend for a further year. The requirement shall consist of a range of items and the Authority is seeking a single supplier to provide all items, which are available from a range of original equipment manufacturers. Tenderer's shall be provided with NATO Stock Numbers and using ISIS, shall be required to source and price the items in scope for the requirement. There are no drawings or specifications available to issue with the Invitation to Tender. The Authority reserves the right to add items of a similar nature to the contract during its lifetime. It is the Authority's intention to operate electronic trading by migrating the Contract to Purchase to Payment (P2P) from the onset. Any resulting contract shall contain a set of Key Performance Indicators to measure performance in areas such as delivery and quality and shall include remidies for poor performance. Expressions of Interest are to be submitted via the Dynamic PQQ which can be accessed using the access code provided in this advert. In accordance with the Government's transparency agenda, the Authority shall publish the Tender and Contract documents online. Further guidance shall be provided in the ITT.'",,"TF2 8JT","West Midlands","35400000 ","Carol Jones",,"Land Supply Business Unit"," Bldg B15",,"TF2 8JT",,,,,,,06/11/2015,06/11/2018,06/03/2015,NO,,No,No,No,Works,870000,4500000,,,,,,,"Open ",
"CCDT/598 Advanced Military Fan Systems",Contract,"MINISTRY OF DEFENCE",Awarded,2020-03-03T14:31:17Z,"CCDT/598 Advanced Military Fan Systems","Published for transparency purposed only. DO NOT APPLY. The Defence Equipment and Support (DE&S), Future Capabilities Group has placed a circa 4.5 year, single sourced contract under the directive and funding of the Future Combat Air Systems Technology initiative, for the development and demonstration of an Advanced Military Aerospace Fan Systems (AMFS) Technology and Capability Concept Demonstrator, with Rolls-Royce Plc, (RR). The contract seeks to complement, complete and extend extant research and development carried out by RR under previous programmes and will focus on the development, experimentation, analysis and enhancement of Aircraft Vertical Lift and propulsion systems; their design and manufacturing technologies, air-vehicle integration and potential to increase aircraft performance and capability, whilst reducing through life costs.",,,"South West","73100000 ","Katherine Ashby-Taylor",katherine.ashby-taylor100@mod.gov.uk,"MOD Abbey Wood",,Bristol,"BS34 8JH",England,"030 679 35613",,,,,14/02/2020,30/07/2025,13/02/2020,NO,,No,No,No,Services,16000000,0,14/02/2020,16000000,"[ROLLS-ROYCE PLC|589 SOUTHMEAD RD
BS34 7RG
GB|COMPANIES_HOUSE|1003142|No|No]",,14/02/2020,30/07/2025,"NegotiatedProcedureWithoutPriorPublicationOJEU ",
BIP61029437,Contract,"Ministry of Defence, Land Equipment, Other",Closed,2018-05-06T11:12:15Z,"Provision of whole aircraft charter for the transportation of military and government cargo and personnel worldwide","The Authority has a requirement for whole aircraft charter for the transportation of military cargo and personnel worldwide. The Authority requires the ability to access commercial aircrafts in order to augment its military fleet in times of operational surge or to transport exceptional loads. Suppliers are required to provide flexible access to the commercial whole aircraft charter market in a dynamic and fast moving military environment.
      
      The requirement has been split into four Lots:
      Lot 1 - Cargo 
      Lot 2 -Cargo Emergency
      Lot 3 - Passenger
      Lot 4 - Passenger Compassionate
      
      There is no limit to the number of Lots a supplier may apply to tender for. Suppliers may apply for one Lot only (except Lot 2) or for more than one Lot.  In order to apply for Lot 2 - Cargo Emergency, suppliers must successfully apply for Lot 1 Cargo. Suppliers cannot apply for Lot 2 only. 
      
      Framework Agreements will be awarded for each Lot.",,,"Any region","60424100 60423000 60424120 60424110 60420000 ",,DESDSCOM-CCF-Commerical@mod.gov.uk,"Cedar 3a, Mailpoint #3338","MOD Abbey Wood",Bristol,"BS34 8JH",UK,,,,,"To view this notice, register as a supplier here:
        
        http://www.contracts.mod.uk/delta/signup.html?userType=supplier
        
        and search for the notice with reference 'UK-Bristol: Non-scheduled air transport services.'.",01/08/2019,31/07/2023,05/06/2018,NO,,Yes,No,No,Services,57295000,151270000,,,,,,,"Restricted ",
BIP77203407,Contract,"Ministry of Defence, Land Equipment, Other",Awarded,2019-07-28T11:21:04Z,"Provision of whole aircraft charter for the transportation of military and government cargo and personnel worldwide","The Authority has a requirement for whole aircraft charter for the transportation of military cargo and personnel worldwide. The Authority requires the ability to access commercial aircrafts in order to augment its military fleet in times of operational surge or to transport exceptional loads. Suppliers are required to provide flexible access to the commercial whole aircraft charter market in a dynamic and fast moving military environment.
      
      The requirement has been split into four Lots and no commitment Framework Agreements have been awarded to Suppliers under each of the following Lots.
      Lot 1 - Cargo 
      Lot 2 -Cargo Emergency
      Lot 3 - Passenger
      Lot 4 - Passenger Compassionate",,,"Any region","60423000 60424120 60424100 60424110 60420000 ",,DESDSCOM-CCF-Commerical@mod.gov.uk,"Cedar 3C, Mailpoint #3351","MOD Abbey Wood",Bristol,"BS34 8JH",UK,,,,,"To view this notice, register as a supplier here:
        
        http://www.contracts.mod.uk/delta/signup.html?userType=supplier
        
        and search for the notice with reference 'UK-Bristol: Non-scheduled air transport services.'.",01/08/2019,31/07/2023,11/06/2019,NO,,Yes,No,No,Services,57295000,151270000,11/06/2019,57295000,"[Agility Project Logistics Ltd|Unit 6 North
        Radius Park
        Faggs Road
        Feltham, Middlesex
        TW14 0NG|NONE||No|No][Air Charter Services Ltd|Millbank House
        171-185 Ewell Road
        Surbiton
        Surrey
        KT6 6AP|NONE||No|No][Air Partner plc|2 City Place
        Beehive Ring Road
        Gatwick
        West Sussex
        RH6 0PA|NONE||No|No][Chapman Freeborn Airchartering Ltd|3 City Place
        Beehive Ring Road
        Gatwick
        West Sussex
        RH6 0PA|NONE||No|No][Damco UK Ltd|Suffolk Place
        Parker Avenue
        Felixstowe
        Suffolk
        IP11 4BB|NONE||No|No][ACC Aviation Ltd|Priory Gate
        18 Castlefield Road
        Reigate
        Surrey
        RH2 0AP|NONE||No|No]",,01/08/2019,31/07/2023,"Restricted ",
BIP45182007,Contract,"Ministry of Defence, Air Support, Air Commodities Project Team (AC PT)",Awarded,2016-07-31T13:42:02Z,"Provision of Engineering and Logistic Support to Aircraft Arrestor Systems in use in the UK and at overseas military bases - RHAG and PAAG","Repair, maintenance and associated services related to aircraft and other equipment. Aircraft-operation services. The Air Commodities Team has a requirement to procure a Support Solution for the provision of engineering support of Aircraft Arrestor Systems in use across the UK and Overseas at military air bases.

The UK MOD currently utilises a fleet of 18 Air Transportable deployable Portable Aircraft Arresting Gear (PAAG) P-IV/BAK-12 and 30 installed Rotary Hydraulic Arrestor Gear (RHAG Mk1) Model 44B-3A Water Twister Energy Absorption systems from Engineered Arresting Systems Corporation (ESCO) as the Original Equipment Manufacturer.

These systems fulfil the subject capability for MOD Main Operating Bases (MOB), Permanent Joint Operating Bases (PJOB) and overseas Deployed Operating Bases (DOB) which operate Fixed Wing Training and Fast Jet military aircraft. 

A spares inclusive availability based support contract is required for 10 years to provide engineering support including but not limited to;
refurbishment & repair of major assemblies, 
Post Design Services, 
RHAG & PAAG tapes,
Pendant cable assemblies.",,,"Any region","34741000 ",,DESASAC-ComrclCI1a1@mod.uk,"MOD ABBEY WOOD #1335 Walnut 3C",,BRISTOL,"BS34 8JH",UK,,,,,"To view this notice, register as a supplier here:

http://www.contracts.mod.uk/delta/signup.html?userType=supplier

and search for the notice with reference 'UK-BRISTOL: Aircraft equipment.'. ",08/07/2016,07/07/2026,08/07/2016,NO,,No,No,No,Services,24111000,0,08/07/2016,24111000,"[MARSHALL LAND SYSTEMS|The Airport, Newmarket Road
Cambridge
CB58RX|||No|No]",,08/07/2016,07/07/2026,"NotSpecified ",
P00002610,Contract,"Portsmouth City Council",Closed,2017-01-20T10:53:16Z,"Transforming the D-Day Museum - Military Vehicle Conservation Specialist","Portsmouth City Council 'the Council' is inviting quotes from suitably qualified professional practices to provide specialist military vehicle conservation services for the Transforming the D-Day Museum Project. 
      
      The collection consists of the following vehicles: 
      
      ? LCVP 1993/32 
      ? BARV (Beach Armoured Recovery Vehicle) 1990/1403 
      ? Sherman Tank 1990/1400 
      ? Churchill Crocodile Tank 1990/1405 
      ? DUKW Amphibious Vehicle 1990/1402
      ? 25 pounder field gun 2003/2517
      
      A specialist vehicle or military vehicle conservator with an appropriate conservation qualification is required to undertake the removal, transport, conservation and storage of all or some of the vehicles on display at the D-Day Museum.",,"PO1 2BJ","South East","35400000 50630000 ","Procurement Service",procurement@portsmouthcc.gov.uk,"Guildhall Square",Portsmouth,Hampshire,"PO1 2BJ","United Kingdom","023 9268 8235",,,"https://in-tendhost.co.uk/portsmouthcc/aspx/ ","
Portsmouth City Council is currently in the process of seeking expressions of interest for the following project - Transforming the D-Day Museum - Military Vehicle Conservation Specialist

The full details and ability to express an interest will be via our e-sourcing system Intend.  This filepath will take you to the relevant area of Intend, 

https://in-tendhost.co.uk/portsmouthcc/aspx/Tenders/Current

Once on the page you can either scroll down or use the search function to find the relevant project.

Should you have any problems with the above link, please contact us on 023 9268 8235 or email: procurement@portsmouthcc.gov.uk


Is a Recurrent Procurement Type? : No",01/03/2017,28/02/2018,10/02/2017,NO,,No,No,No,Services,0,0,,,,,,,"Open ",
"P00002610 - AWARD",Contract,"Portsmouth City Council",Awarded,2017-04-20T14:46:33Z,"Transforming the D-Day Museum - Military Vehicle Conservation Specialist - AWARD","Portsmouth City Council 'the Council' is inviting quotes from suitably qualified professional practices to provide specialist military vehicle conservation services for the Transforming the D-Day Museum Project. 
      
      The collection consists of the following vehicles: 
      
      ? LCVP 1993/32 
      ? BARV (Beach Armoured Recovery Vehicle) 1990/1403 
      ? Sherman Tank 1990/1400 
      ? Churchill Crocodile Tank 1990/1405 
      ? DUKW Amphibious Vehicle 1990/1402
      ? 25 pounder field gun 2003/2517
      
      A specialist vehicle or military vehicle conservator with an appropriate conservation qualification is required to undertake the removal, transport, conservation and storage of all or some of the vehicles on display at the D-Day Museum.",,"PO1 2BJ","South East","35400000 50630000 ","Procurement Service",procurement@portsmouthcc.gov.uk,"Guildhall Square",Portsmouth,Hampshire,"PO1 2BJ","United Kingdom","023 9268 8235",,,,,01/03/2017,28/02/2018,10/02/2017,NO,,No,No,No,Services,0,0,01/04/2017,0,"[Heritage Project Contracts Limited|Unit 1, Ainsdale Drive, Harlescott Trading Estate, Shrewsbury, Shropshire, United Kingdom, SY1 3TL|||No|No]","Peter Meehan",01/03/2017,28/02/2018,"Open ",
"FOR TRANSPARENCY PURPOSES ONLY 700001600",Contract,"Ministry Of Defence",Closed,2019-03-08T14:06:28Z,"Provision of Equine Dentistry Services to Military Working Horses","To provide routine and advanced dental care to circa 400 military working horses of the Household Cavalry Mounted Regiment and The Kings Troop Royal Horse Artillery.

Visits are to be made at regular intervals through the year to each unit as follows:

a.	HCMR   - 7 visits treating up to 33 horses per visit 
b.	HCTW   - 2 visits treating up to 33 horses per visit
c.	KTHRA  - 5 visits treating up to 25 horses per visit

In addition, one visit a year to the Royal Military Academy Sandhurst, Camberley, Surrey, GU15 4PQ is required to treat up to 8 horses.",,,London,"77500000 ","Maggie Sawade",Maggie.Sawade616@mod.gov.uk,"Bldg 5, Catterick Barracks",,Bielefeld,"BF1 0AP",England,,,"700002294_ITT_and_CTT_Redacted.pdf ",,"PLEASE NOTE THAT THIS NOTICE IS FOR TRANSPARENCY PURPOSES ONLY. TO TENDER; PLEASE REGISTER ON www.contracts.mod.uk  and in the Response Manager, enter the Access Code: QX8Q896KR7.",20/05/2019,19/05/2022,15/04/2019,NO,,Yes,No,No,Services,90500,0,,,,,,,"OpenNonOJEU ",
DSCOM/CB/2213,Contract,"MINISTRY OF DEFENCE",Awarded,2015-04-28T09:12:28Z,"Provision of Air Transport for Military Cargo","MOD has a requirement for ad-hoc chartering of air transportation for the movement of military Cargo worldwide. Although there will be no guaranteed levels of business, the MOD intends to establish a Framework Agreement for 4 years.",,,"Any region","60423000 ","Paul Kenyon",paul.kenyon681@mod.uk,"Cedar 3a, Mailpoint #3338","MOD Abbey Wood",Bristol,"BS34 8JH",England,"030 679 81179",,"20150417-Cargo_Framework_Agreement_Statement_of_Work-O.doc 20150422-2213_DEFFORM_47-O.doc 20150422-2213_Appendix_2_to_DEFFORM_47_Technical_Scoring_Criteria-O.doc 20150422-2213_Good_Standing-O.doc 20150422-2213_DEFFORM_28ABW-O.doc 20150422-2213_Annex_B_Tasking_Process-OC.xls 20150422-2213_DEFFORM_539A-OSC.doc 20150422-2213_DEFFORM_30-O.doc 20150422-2213_Terms_and_Conds_FINAL-OC.doc Defence Contract Notice  MOD-DCO.txt 20150422-2213_Appendix_1_to_DEFFORM_47_Tender_Submission_Document_(Offer)-O.doc 20150422-2213_DEFFORM_111-O.doc ",,,01/08/2015,31/07/2019,04/06/2015,NO,,Yes,No,No,Services,75000000,0,21/07/2015,1,"[Agility Project Logistics Ltd; Air Charter Services; Air Partner|- Agility;  Unit 6 North, Radius Park, Faggs Road, Feltham, TW14 0NG
 - Air Partner;  Millbank House, 191-185 Ewell Road, Surbiton, Surrey, KT6 6AP
 - Air Charter;  2 City Place, Beehive Ring Road, Gatwick, Crawley, RH10 6PU
 - Damco;  Suffolk Place, Parker Avenue, Felixtowe, Suffolk, IP11 4BB
 - Heavyweight;  Unit 3, Cygnus Court, Beverley Road, East Midlands Airport, Derby, DE74 2SA
 - National;  Cargo City South, Building 537F, Frankfurt Airport, Frankfurt, D-60549
 - Ruslan;  Endaevour House, Coop|||No|No]",,01/08/2015,19/07/2019,"Restricted ",
ACT/04275,Contract,"MINISTRY OF DEFENCE",Awarded,2015-05-27T09:22:44Z,"Provision of a Military International Flight Planning System","Provision of a military international flight planning system for the RAF",,,"South East","48131000 ",,DefComrclCC-Air3a2@mod.uk,"RAF High Wycombe",,"High Wycombe","HP14 4UE",England,,,"ACT04275.zip ",,,01/04/2015,31/03/2020,26/03/2015,NO,,Yes,No,No,Services,4879095,0,26/03/2015,4879095,"[Jeppesen UK Limited|Boeing House
Manor Royal
Crawley|||No|No]",,01/04/2015,31/03/2020,"Restricted ",
ACT/04244,Contract,"MINISTRY OF DEFENCE",Awarded,2015-06-12T08:35:34Z,"Provision of Civilian Aircraft and Fire & Crash Cover for Military Parchute Training","For the Provision of Civilian Aircraft and Fire & Crash Cover For Military Parachuting.",,,"South East","80500000 ",,simon.bratchell643@mod.uk,"RAF High Wycombe",,"High Wycombe","HP14 4UE",England,,,"20150611-ACT 04244  Commercial.zip ",,,01/07/2015,30/06/2017,12/11/2014,NO,,Yes,No,No,Services,3079329.67,0,23/03/2015,3079329.67,"[8199400 Canada Inc. 'dba' Summit Air|27 Yellowknife Airport
100 Dickins Street
Yellowknife NT
X1A 3TS
CANADA|||No|No]",,01/07/2015,30/06/2017,"Restricted ",
HOCS1c/00010,Contract,"MINISTRY OF DEFENCE",Awarded,2015-08-28T14:36:33Z,"PROVISION OF TECHNICAL SUPPORT FOR A SCOPING STUDY INTO AN OPERATIONAL MILITARY VEHICLE CERTIFICATION FRAMEWORK","PROVISION OF TECHNICAL SUPPORT FOR A SCOPING STUDY INTO AN OPERATIONAL MILITARY VEHICLE CERTIFICATION FRAMEWORK",,,"South West","75000000 ",,defcomrclcc-hocs1c1a@mod.uk,"RM 2.1.02,KENTIGERN HSE","65 BROWN ST",GLASGOW,"G2 8EX",Scotland,,,"HOCS1c00010  CONTRACT DOCUMENTATION.doc ",,,10/08/2015,02/10/2015,03/08/2015,NO,,No,No,No,Services,0,39613,27/07/2015,39612.08,"[FRAZER-NASH CONSULTANCY LTD|1 LOWER LAMB STREET
BRISTOL
BS1 5TE|||No|No]",,10/08/2015,02/10/2015,"Restricted ",
